cluster,question_group,generic_question,original_question,option_1,option_2,option_3,option_4,option_5,option_6,option_7,option_8,option_9,option_10
33,,"Please CHECK ALL of the following that you have done in [city name] over the past year. [Used professional services (banking, legal)]","Q28[06][M].Please CHECK ALL of the following that you have done in Johnston over the past year. [Used professional services (banking, legal)]",Yes,No,,,,,,,,
34,,Please CHECK ALL of the following that you have done in [city name] over the past year. [Gone to church],Q28[08][M].Please CHECK ALL of the following that you have done in Johnston over the past year. [Gone to church],No,Yes,,,,,,,,
35,,Please rate your satisfaction with each of the following public safety items. [. Enforcing the clean-up of litter and debris on City streets],Q4[12][F].Please rate your satisfaction with each of the following public safety items. [12. Enforcing the clean-up of litter and debris on City streets],Neutral,Satisfied,Dissatisfied,Don't Know,Very Satisfied,Very Dissatisfied,,,,
36,,"Which THREE of the sources listed in Question 10 do you MOST PREFER to use to get information about City services, news, and events? [3rd:]","Q11[03][F].Which THREE of the sources listed in Question 10 do you MOST PREFER to use to get information about City services, news, and events? [3rd:]",06. Mailers,01. By visiting City Hall,15. Other,09. City e-newsletter,07. Facebook,11. Newspapers,04. Instagram,14. Riveria Beach Magazine,05. The City website,10. TV news outlets
37,,"Which THREE of the sources listed in Question 10 do you MOST PREFER to use to get information about City services, news, and events? [2nd:]","Q11[02][F].Which THREE of the sources listed in Question 10 do you MOST PREFER to use to get information about City services, news, and events? [2nd:]",10. TV news outlets,03. By calling the City,05. The City website,14. Riveria Beach Magazine,09. City e-newsletter,04. Instagram,07. Facebook,06. Mailers,15. Other,11. Newspapers
38,,"Which THREE of the sources listed in Question 10 do you MOST PREFER to use to get information about City services, news, and events? [1st:]","Q11[01][F].Which THREE of the sources listed in Question 10 do you MOST PREFER to use to get information about City services, news, and events? [1st:]",09. City e-newsletter,05. The City website,07. Facebook,06. Mailers,03. By calling the City,13. HOA,01. By visiting City Hall,14. Riveria Beach Magazine,02. By emailing the City,11. Newspapers
39,,"Please CHECK ALL of the sources of information you use to get information about City services, news, and events? [. Other]","Q10[15][M].Please CHECK ALL of the sources of information you use to get information about City services, news, and events? [15. Other]",Yes,No,,,,,,,,
40,,"Please CHECK ALL of the sources of information you use to get information about City services, news, and events? [. HOA]","Q10[13][M].Please CHECK ALL of the sources of information you use to get information about City services, news, and events? [13. HOA]",No,Yes,,,,,,,,
41,,"Please CHECK ALL of the sources of information you use to get information about City services, news, and events? [. Radio]","Q10[12][M].Please CHECK ALL of the sources of information you use to get information about City services, news, and events? [12. Radio]",No,Yes,,,,,,,,
42,,"Please CHECK ALL of the sources of information you use to get information about City services, news, and events? [. Newspapers]","Q10[11][M].Please CHECK ALL of the sources of information you use to get information about City services, news, and events? [11. Newspapers]",No,Yes,,,,,,,,
43,,"Please CHECK ALL of the sources of information you use to get information about City services, news, and events? [. TV news outlets]","Q10[10][M].Please CHECK ALL of the sources of information you use to get information about City services, news, and events? [10. TV news outlets]",Yes,No,,,,,,,,
44,,"Please CHECK ALL of the sources of information you use to get information about City services, news, and events? [. City e-newsletter]","Q10[09][M].Please CHECK ALL of the sources of information you use to get information about City services, news, and events? [09. City e-newsletter]",Yes,No,,,,,,,,
45,,"Please CHECK ALL of the sources of information you use to get information about City services, news, and events? [. X (Twitter)]","Q10[08][M].Please CHECK ALL of the sources of information you use to get information about City services, news, and events? [08. X (Twitter)]",No,Yes,,,,,,,,
46,,"Please CHECK ALL of the sources of information you use to get information about City services, news, and events? [. Facebook]","Q10[07][M].Please CHECK ALL of the sources of information you use to get information about City services, news, and events? [07. Facebook]",No,Yes,,,,,,,,
47,,"Please CHECK ALL of the sources of information you use to get information about City services, news, and events? [. Mailers]","Q10[06][M].Please CHECK ALL of the sources of information you use to get information about City services, news, and events? [06. Mailers]",No,Yes,,,,,,,,
48,,"Please CHECK ALL of the sources of information you use to get information about City services, news, and events? [. The City website]","Q10[05][M].Please CHECK ALL of the sources of information you use to get information about City services, news, and events? [05. The City website]",No,Yes,,,,,,,,
49,,"Please CHECK ALL of the sources of information you use to get information about City services, news, and events? [. Instagram]","Q10[04][M].Please CHECK ALL of the sources of information you use to get information about City services, news, and events? [04. Instagram]",No,Yes,,,,,,,,
50,,"Please CHECK ALL of the sources of information you use to get information about City services, news, and events? [. By calling the City]","Q10[03][M].Please CHECK ALL of the sources of information you use to get information about City services, news, and events? [03. By calling the City]",No,Yes,,,,,,,,
51,,"Please CHECK ALL of the sources of information you use to get information about City services, news, and events? [. By emailing the City]","Q10[02][M].Please CHECK ALL of the sources of information you use to get information about City services, news, and events? [02. By emailing the City]",No,Yes,,,,,,,,
52,,Are you a permanent or seasonal resident of [city name]?,Q17[L].Are you a permanent or seasonal resident of Riviera Beach?,Permanent,Seasonal,,,,,,,,
53,perceptions community,Perceptions of the Community. Please rate your satisfaction with each of the following items that may influence your perception of the City of [city name]. [. Overall leadership of City Manager and senior staff],Q3[07][F].Perceptions of the Community. Please rate your satisfaction with each of the following items that may influence your perception of the City of Riviera Beach. [7. Overall leadership of City Manager and senior staff],Don't Know,Very Satisfied,Dissatisfied,Neutral,Very Dissatisfied,Satisfied,,,,
