cluster,question_group,generic_question,original_question,option_1,option_2,option_3,option_4,option_5,option_6,option_7,option_8,option_9,option_10
13,perceptions community,Perceptions of the Community. Please rate your satisfaction with each of the following items that may influence your perception of the City of [city name]. [. Overall quality of life in the City],Q3[04][F].Perceptions of the Community. Please rate your satisfaction with each of the following items that may influence your perception of the City of Riviera Beach. [4. Overall quality of life in the City],Dissatisfied,Very Satisfied,Neutral,Satisfied,Very Dissatisfied,Don't Know,,,,
14,,Please rate each of the following major categories of services provided by the City of [city name]. [. Overall quality of customer service you receive from City employees],Q1[05][F].Please rate each of the following major categories of services provided by the City of Overland Park. [05. Overall quality of customer service you receive from City employees],Neutral,Very Satisfied,Satisfied,Don't Know,Dissatisfied,Very Dissatisfied,,,,
15,,Please rate your satisfaction with each of the following water services. [. Clarity of your tap water],Q7[04][F].Please rate your satisfaction with each of the following water services. [4. Clarity of your tap water],Satisfied,Very Satisfied,Neutral,Dissatisfied,Don't Know,Very Dissatisfied,,,,
16,,Please rate your satisfaction with each of the park services listed. [. Number of walking and biking trails in the City],Q10[06][F].Please rate your satisfaction with each of the park services listed. [06. Number of walking and biking trails in the City],Neutral,Satisfied,Very Satisfied,Dissatisfied,Don't Know,Very Dissatisfied,,,,
17,,Please rate your satisfaction with each of the park services listed. [. The number of City parks],Q10[02][F].Please rate your satisfaction with each of the park services listed. [02. The number of City parks],Neutral,Satisfied,Dissatisfied,Very Satisfied,Don't Know,Very Dissatisfied,,,,
18,,Please rate your satisfaction with the following public safety services provided by the City of [city name]. [. The visibility of police in retail areas],Q21[02][F].Please rate your satisfaction with the following public safety services provided by the City of Olathe. [02. The visibility of police in retail areas],Satisfied,Neutral,Very Satisfied,Don't Know,Dissatisfied,Very Dissatisfied,,,,
19,,"Please rate your overall satisfaction with major categories of services provided by the City of [city name]. [. Overall quality of police, fire, and emergency medical services]","Q1[01][F].Please rate your overall satisfaction with major categories of services provided by the City of Olathe. [01. Overall quality of police, fire, and emergency medical services]",Satisfied,Very Satisfied,Don't Know,Neutral,Dissatisfied,Very Dissatisfied,,,,
20,maintenance,Maintenance. Please rate your satisfaction with the following services provided by the City of [city name]. [. Condition of major City streets],Q8[01][F].Maintenance. Please rate your satisfaction with the following services provided by the City of Riviera Beach. [01. Condition of major City streets],Neutral,Very Satisfied,Satisfied,Dissatisfied,Don't Know,Very Dissatisfied,,,,
21,,"Please define ""Other.""","Q5x14[T].Please define ""Other.""",Affordable housing,The houseless community does not have access to the resources they need. Instead their belongings are trashed and they are pushed somewhere else without any permanent and helpful solutions.,Total lack of adequate public transportation,"Minor crime , code violations ","Poor infrastructure. Incompetent, dishonest, inefficient city services. Terrible city management at the mid and upper levels. Terrible respect for all our residents by city staff. ","Abusive and inequitable property code enforcement. 

Examples:

* WOOD CHIPS AND MULCH ARE NOT LITTER 

* Using an old dining room set for outside furniture should not be a code violation. 

* And I’m sure there are many more. Update the code. 

* Even the use of the term code enforcement is a problem. This is not a proactive stance.  

* Effective communication should be required education for all code enforcement officers. Even referring to them as officers is problematic. They should actually know their jobs.  Return calls should be required. And finally when a code enforcement officer knows part of the code is ridiculous and doesn’t want to / and sometimes doesn’t give the warning… maybe that code should be reconsidered,  removed or changed to be more appropriate and fair. ",Other concerns ,Walkability.,"Elimate Section 8 housing, eliminate short term rentals in neighborhoods, eliminate uninsured / paper tag drivers","Lack of safety, Lack of streets getting fixed, not enough street lights, people Littering in our areas "
22,,"Counting yourself, how many people in your household are… [Ages 65-74:]","Q42[10][K].Counting yourself, how many people in your household are… [Ages 65-74:]",2.0,0.0,1.0,74.0,67.0,,,,,
23,,What is your age?,Q23[N].What is your age?,32.0,33.0,52.0,37.0,27.0,39.0,31.0,62.0,42.0,65.0
24,,"Including yourself, how many persons in your household are in each of the following age groups? [65-74 years:]","Q29[10][K].Including yourself, how many persons in your household are in each of the following age groups? [65-74 years:]",1.0,2.0,0.0,26.0,,,,,,
25,,Please indicate the extent to which you think each of the following are an issue in the City of [city name] by circling the corresponding number below. [. Other],Q5[14][F].Please indicate the extent to which you think each of the following are an issue in the City of Dallas by circling the corresponding number below. [14. Other],Don't Know,Major Problem,Moderate Problem,Not a Problem,Minor Problem,,,,,
26,,Please CHECK ALL of the following types of retail and restaurant options you would like to see in [city name]. [Other],Q27[10][M].Please CHECK ALL of the following types of retail and restaurant options you would like to see in Johnston. [Other],No,Yes,,,,,,,,
27,,"When you think about the number and variety of places to live, work and play in [city name], would you like to see more, about the same, or fewer of the following types of places in [city name]? [. Retail and shopping plazas]","Q13[14][F].When you think about the number and variety of places to live, work and play in Riviera Beach, would you like to see more, about the same, or fewer of the following types of places in Riviera Beach? [14. Retail and shopping plazas]",See about the same,See fewer,See more,Don't know,,,,,,
28,,Please rate your satisfaction with each of the following parks and recreation items. [. Number of city parks],Q15[02][F].Please rate your satisfaction with each of the following parks and recreation items. [02. Number of city parks],Satisfied,Very Satisfied,Neutral,Dissatisfied,Very Dissatisfied,Don't Know,,,,
29,,Please rate your satisfaction with each of the following maintenance items. [. Maintenance of major City streets],Q10[01][F].Please rate your satisfaction with each of the following maintenance items. [01. Maintenance of major City streets],Very Dissatisfied,Satisfied,Dissatisfied,Very Satisfied,Neutral,Don't Know,,,,
30,,Please rate how safe you feel in the following situations. [. In your neighborhood during the day],Q17[01][F].Please rate how safe you feel in the following situations. [1. In your neighborhood during the day],Safe,Very Safe,Neutral,Don't Know,Unsafe,Very Unsafe,,,,
31,,Please indicate how the City of [city name] compares to other cities in Des Moines metro areas in the following areas. [. City facilities],Q22[01][F].Please indicate how the City of Johnston compares to other cities in Des Moines metro areas in the following areas. [1. City facilities],About the Same,Better,Worse,Much Worse,Don't Know,Much Better,,,,
32,parks recreation,Parks and Recreation. Please rate the City's performance in the following areas. [. Appearance/maintenance of parks],Q11[07][F].Parks and Recreation. Please rate the City's performance in the following areas. [07. Appearance/maintenance of parks],Good,Fair,Excellent,Poor,Don't Know,,,,,
33,major categories city services,Major Categories of City Services. Please indicate whether you or any member of your household have used each of the following services in the past 12 months. [. Customer service provided by city employees],Q7[04][M].Major Categories of City Services. Please indicate whether you or any member of your household have used each of the following services in the past 12 months. [04. Customer service provided by city employees],Yes,No,,,,,,,,
34,,"For the items you selected, how would you rate the overall performance? [. Sewer services (e.g., sanitary sewer/wastewater)]","Q7a[14][F].For the items you selected, how would you rate the overall performance? [14. Sewer services (e.g., sanitary sewer/wastewater)]",Don't Know,Fair,Good,Excellent,Poor,,,,,
35,,Please rate the City of [city name] with regard to the following. [. As a place to live],Q18[01][F].Please rate the City of Overland Park with regard to the following. [1. As a place to live],Good,Excellent,Neutral,Poor,Below Average,,,,,
36,,Please rate each of the following characteristics as they relate to [city name] as a whole. [. Ease of air travel in [city name]],Q2[14][F].Please rate each of the following characteristics as they relate to Dallas as a whole. [14. Ease of air travel in Dallas],Excellent,Fair,Good,Don't Know,Poor,,,,,
37,economic development,Economic Development. Which TWO of the following benefits of economic development are MOST IMPORTANT to you? [Other],Q23[10][M].Economic Development. Which TWO of the following benefits of economic development are MOST IMPORTANT to you? [Other],No,Yes,,,,,,,,
38,,How do you receive information about the city's budget and how money is spent? [Other],Q34[06][M].How do you receive information about the city's budget and how money is spent? [Other],No,Yes,,,,,,,,
39,,Please CHECK ALL of the following items that would make you try DART or cause you to ride more often. [More convenient routes],Q31[03][M].Please CHECK ALL of the following items that would make you try DART or cause you to ride more often. [More convenient routes],No,Yes,,,,,,,,
40,,Please rate your satisfaction with each of the following items concerning city leadership. [. Overall quality of leadership provided by the City's elected officials],Q4[01][F].Please rate your satisfaction with each of the following items concerning city leadership. [1. Overall quality of leadership provided by the City's elected officials],Satisfied,Very Satisfied,Neutral,Don't Know,Dissatisfied,Very Dissatisfied,,,,
41,,Please rate your satisfaction with each of the following communication items. [. The quality of the City's website],Q14[04][F].Please rate your satisfaction with each of the following communication items. [4. The quality of the City's website],Satisfied,Don't Know,Very Satisfied,Neutral,Dissatisfied,Very Dissatisfied,,,,
42,,What is your gender?,Q24[L].What is your gender?,Male,Female,Self-identified,,,,,,,
43,,Please rate your level of agreement with each of the following statements. [. The City of [city name] is a safe community],Q14[01][F].Please rate your level of agreement with each of the following statements. [1. The City of Riviera Beach is a safe community],Disagree,Agree,Strongly Disagree,Strongly Agree,Don't Know,,,,,
44,city aware shortage housing nationwide locally,The City is aware of a shortage of housing nationwide and locally. Different housing types not already offered in [city name] will help meet the needs of future generations in our community. Do you support the City facilitating more housing in [city name] through... [Fourplexes],Q19[05][M].The City is aware of a shortage of housing nationwide and locally. Different housing types not already offered in Overland Park will help meet the needs of future generations in our community. Do you support the City facilitating more housing in Overland Park through... [Fourplexes],Yes,No,,,,,,,,
45,meet needs future generations city considering changes transportation infrastructure network better accommodate walking biking using public transit charging electric vehicles,"To meet the needs of future generations, the City is considering changes to the transportation infrastructure and network to better accommodate walking, biking, using public transit and charging electric vehicles. Do you support the City's transportation network to better accommodate multimodal transportation by... [Providing safe walking options to and from home, work, school, parks, grocery stores, etc.]","Q20[01][M].To meet the needs of future generations, the City is considering changes to the transportation infrastructure and network to better accommodate walking, biking, using public transit and charging electric vehicles. Do you support the City's transportation network to better accommodate multimodal transportation by... [Providing safe walking options to and from home, work, school, parks, grocery stores, etc.]",Yes,No,,,,,,,,
46,,"If you had a budget of $100 for services provided by the City of Riveria Beach, how would you allocate the funds among these categories? [Please be sure your total adds up to $100.] [Parks, Golf, and Open Spaces (including park, outdoor athletic fields and courts, trails, golf, open space, and trails.)]","Q16[01][K].If you had a budget of $100 for services provided by the City of Riveria Beach, how would you allocate the funds among these categories? [Please be sure your total adds up to $100.] [Parks, Golf, and Open Spaces (including park, outdoor athletic fields and courts, trails, golf, open space, and trails.)]",30.0,50.0,75.0,20.0,25.0,45.0,10.0,100.0,35.0,0.0
47,,What is your total annual household income?,Q29[L].What is your total annual household income?,"$100,000 or more","$50,000 - $74,999","$25,000 - $49,999","$75,000 - $99,999","Less than $24,999",,,,,
48,,Please rate the performance of the City employees who helped you the last time you contacted the City in the following areas. [. Courtesy],Q20a[03][F].Please rate the performance of the City employees who helped you the last time you contacted the City in the following areas. [3. Courtesy],Excellent,Good,Fair,Poor,Don't know,,,,,
49,,Please indicate how likely you would be to recommend your community. [. Recommend the community as a place to live],Q24[01][F].Please indicate how likely you would be to recommend your community. [1. Recommend the community as a place to live],09,10 (Very Likely),08,06,05,01 (Not at All Likely),07,Don't know,02,04
50,,Do you own or rent your current residence?,Q28[L].Do you own or rent your current residence?,Own,Rent,,,,,,,,
51,,How many persons in your household are employed in each of the following areas? [Within the City limits of [city name]:],Q31[01][K].How many persons in your household are employed in each of the following areas? [Within the City limits of Overland Park:],1.0,2.0,0.0,3.0,4.0,,,,,
52,,Please rate your satisfaction with each of the following code enforcement items. [. Enforcing the maintenance of commercial property in your neighborhood],Q8[04][F].Please rate your satisfaction with each of the following code enforcement items. [4. Enforcing the maintenance of commercial property in your neighborhood],Very Dissatisfied,Don't Know,Neutral,Satisfied,Very Satisfied,Dissatisfied,,,,
53,,Please rate your satisfaction with each of the following items concerning your trash service. [. City efforts to keep you informed about trash removal issues],Q8[04][F].Please rate your satisfaction with each of the following items concerning your trash service. [4. City efforts to keep you informed about trash removal issues],Very Satisfied,Satisfied,Neutral,Don't Know,Dissatisfied,Very Dissatisfied,,,,
54,,Please rate your satisfaction with each of the following items concerning your recycling service. [. Overall quality of the City's curbside recycling program],Q9[06][F].Please rate your satisfaction with each of the following items concerning your recycling service. [6. Overall quality of the City's curbside recycling program],Very Satisfied,Satisfied,Neutral,Don't Know,Dissatisfied,Very Dissatisfied,,,,
