Question_Group,Historical_Question,Generic_Question,Similarity_Score,Confidence_Level,Rank
,please rate following items circling corresponding number 01 [city name] place live,Please rate your satisfaction with each of the following items concerning your recycling service. [. Overall quality of the City's curbside recycling program],0.0730598905313652,Low,16
,please rate following items circling corresponding number 01 [city name] place live,Please rate each of the following characteristics as they relate to [city name] as a whole. [. Ease of air travel in [city name]],0.07246727477832,Low,17
,please rate following items circling corresponding number 01 [city name] place live,Please rate your satisfaction with each of the following code enforcement items. [. Enforcing the maintenance of commercial property in your neighborhood],0.07051128537246995,Low,18
,please rate following items circling corresponding number 01 [city name] place live,Please rate your satisfaction with each of the following items concerning your trash service. [. City efforts to keep you informed about trash removal issues],0.06881082682589998,Low,19
,please rate following items circling corresponding number 01 [city name] place live,Please rate the performance of the City employees who helped you the last time you contacted the City in the following areas. [. Courtesy],0.0643058352253589,Low,20
,please rate following items circling corresponding number 01 [city name] place live,Which THREE of the items listed in Question 1 do you think should receive the MOST EMPHASIS from City leaders over the next TWO years? [2nd:],0.06286428655101105,Low,21
parks recreation,please rate following items circling corresponding number 01 [city name] place live,Parks and Recreation. Please rate the City's performance in the following areas. [. Appearance/maintenance of parks],0.05644232249200742,Low,22
,please rate following items circling corresponding number 01 [city name] place live,Please indicate how the City of [city name] compares to other cities in Des Moines metro areas in the following areas. [. City facilities],0.05620179425822951,Low,23
,please rate following items circling corresponding number 01 [city name] place live,How many persons in your household are employed in each of the following areas? [Within the City limits of [city name]:],0.05575812321124771,Low,24
,please rate following items circling corresponding number 01 [city name] place live,Please CHECK ALL of the following information sources you have used to get information about the City of [city name] during the past year. [Other],0.0551339144379633,Low,25
,please rate following items circling corresponding number 01 [city name] place live,"Please rate your overall satisfaction with major categories of services provided by the City of [city name]. [. Overall quality of police, fire, and emergency medical services]",0.05136908555723446,Low,26
,please rate following items circling corresponding number 01 [city name] place live,Please CHECK ALL of the following that you have done in [city name] over the past year. [Visited City government offices],0.050877434930570356,Low,27
,please rate following items circling corresponding number 01 [city name] place live,"For the items you selected, how would you rate the overall performance? [. Sewer services (e.g., sanitary sewer/wastewater)]",0.04494642245491867,Low,28
,please rate following items circling corresponding number 01 [city name] place live,Which THREE of the City services listed in Question 1 do you think are most important for the City to emphasize over the next TWO years? [1st:],0.04078129575851542,Low,29
,please rate following items circling corresponding number 01 [city name] place live,Please CHECK ALL of the following items that would make you try DART or cause you to ride more often. [More convenient routes],0.04032499523780786,Low,30
major categories city services,please rate following items circling corresponding number 01 [city name] place live,Major Categories of City Services. Please indicate whether you or any member of your household have used each of the following services in the past 12 months. [. Customer service provided by city employees],0.04023776887542645,Low,31
,please rate following items circling corresponding number 01 [city name] place live,"Which of the following are your primary sources of information about City issues, services, and events?  [Other]",0.039844514796387086,Low,32
,please rate following items circling corresponding number 01 [city name] place live,Please rate how safe you feel in the following situations. [. In your neighborhood during the day],0.03879652060383566,Low,33
,please rate following items circling corresponding number 01 [city name] place live,Please CHECK ALL of the following types of retail and restaurant options you would like to see in [city name]. [Other],0.03661850695114071,Low,34
city aware shortage housing nationwide locally,please rate following items circling corresponding number 01 [city name] place live,The City is aware of a shortage of housing nationwide and locally. Different housing types not already offered in [city name] will help meet the needs of future generations in our community. Do you support the City facilitating more housing in [city name] through... [Fourplexes],0.03294772306212932,Low,35
,please rate following items circling corresponding number 01 [city name] place live,Please rate your satisfaction with each of the following water services. [. Clarity of your tap water],0.03069677685003646,Low,36
,please rate following items circling corresponding number 01 [city name] place live,Which FOUR of the services listed above do you think should be the City's top priorities? [2nd:],0.027924860229443484,Low,37
,please rate following items circling corresponding number 01 [city name] place live,How do you receive information about the city's budget and how money is spent? [Other],0.021415126915980787,Low,38
,please rate following items circling corresponding number 01 [city name] place live,"Please CHECK ALL of the sources of information you use to get information about City services, news, and events? [. Other]",0.019271630367557732,Low,39
,please rate following items circling corresponding number 01 [city name] place live,Which of the following best describes your race/ethnicity? [Other],0.016481565450080587,Low,40
,please rate following items circling corresponding number 01 [city name] place live,Please CHECK ALL of the following information sources you are currently using in daily life. [Other],0.01462738225024822,Low,41
,please rate following items circling corresponding number 01 [city name] place live,"Including yourself, how many persons in your household are in each of the following age groups? [65-74 years:]",0.012195426290317115,Low,42
,please rate following items circling corresponding number 01 [city name] place live,"Thinking of your own life, please check if any of the following obstacles or barriers make it difficult for you to be involved with your community. [None]",0.012025044875907737,Low,43
,please rate following items circling corresponding number 01 [city name] place live,"Which of the following best describes your race/ethnicity? [Hispanic, Spanish, or Latino/a/x]",0.011973381964510239,Low,44
meet needs future generations city considering changes transportation infrastructure network better accommodate walking biking using public transit charging electric vehicles,please rate following items circling corresponding number 01 [city name] place live,"To meet the needs of future generations, the City is considering changes to the transportation infrastructure and network to better accommodate walking, biking, using public transit and charging electric vehicles. Do you support the City's transportation network to better accommodate multimodal transportation by... [Providing safe walking options to and from home, work, school, parks, grocery stores, etc.]",0.011740875178425689,Low,45
,please rate following items circling corresponding number 01 [city name] place live,Which of the following best describes your race/ethnicity? [American Indian or Alaska Native],0.01131176095522781,Low,46
economic development,please rate following items circling corresponding number 01 [city name] place live,Economic Development. Which TWO of the following benefits of economic development are MOST IMPORTANT to you? [Other],0.010950466420030995,Low,47
,please rate following items circling corresponding number 01 [city name] place live,"If you had a budget of $100 for services provided by the City of Riveria Beach, how would you allocate the funds among these categories? [Please be sure your total adds up to $100.] [Parks, Golf, and Open Spaces (including park, outdoor athletic fields and courts, trails, golf, open space, and trails.)]",0.006756089337873837,Low,48
,please rate following items circling corresponding number 01 [city name] place live,What is your total annual household income?,0.0,Low,49
,please rate following items circling corresponding number 01 [city name] place live,What is your age?,0.0,Low,50
,please rate following items circling corresponding number 01 [city name] place live,Do you own or rent your current residence?,0.0,Low,51
,please rate following items circling corresponding number 01 [city name] place live,"Counting yourself, how many people in your household are… [Ages 65-74:]",0.0,Low,52
,please rate following items circling corresponding number 01 [city name] place live,"Please define ""Other.""",0.0,Low,53
,please rate following items circling corresponding number 01 [city name] place live,What is your gender?,0.0,Low,54
,please rate following items circling corresponding number 02 neighborhood place live,Please rate the City of [city name] with regard to the following. [. As a place to live],0.40992624032802993,Low,1
,please rate following items circling corresponding number 02 neighborhood place live,Please indicate the extent to which you think each of the following are an issue in the City of [city name] by circling the corresponding number below. [. Other],0.39934042187637947,Low,2
,please rate following items circling corresponding number 02 neighborhood place live,Please rate your satisfaction with each of the following parks and recreation items. [. Number of city parks],0.20638175972172645,Low,3
,please rate following items circling corresponding number 02 neighborhood place live,Please rate your satisfaction with each of the following code enforcement items. [. Enforcing the maintenance of commercial property in your neighborhood],0.19763955291970112,Low,4
,please rate following items circling corresponding number 02 neighborhood place live,Please indicate how likely you would be to recommend your community. [. Recommend the community as a place to live],0.1965287506024548,Low,5
,please rate following items circling corresponding number 02 neighborhood place live,Please rate how safe you feel in the following situations. [. In your neighborhood during the day],0.18802683071108944,Low,6
,please rate following items circling corresponding number 02 neighborhood place live,Please rate your satisfaction with each of the park services listed. [. The number of City parks],0.16755283604357746,Low,7
,please rate following items circling corresponding number 02 neighborhood place live,"When you think about the number and variety of places to live, work and play in [city name], would you like to see more, about the same, or fewer of the following types of places in [city name]? [. Retail and shopping plazas]",0.1512090251695093,Low,8
,please rate following items circling corresponding number 02 neighborhood place live,Please rate your satisfaction with each of the park services listed. [. Number of walking and biking trails in the City],0.11850141225239219,Low,9
,please rate following items circling corresponding number 02 neighborhood place live,Please rate your satisfaction with each of the following communication items. [. The quality of the City's website],0.09289635142929177,Low,10
,please rate following items circling corresponding number 02 neighborhood place live,Please rate your satisfaction with each of the following maintenance items. [. Maintenance of major City streets],0.08497015610694414,Low,11
perceptions community,please rate following items circling corresponding number 02 neighborhood place live,Perceptions of the Community. Please rate your satisfaction with each of the following items that may influence your perception of the City of [city name]. [. Overall quality of life in the City],0.06257289207155908,Low,12
,please rate following items circling corresponding number 02 neighborhood place live,Please rate your satisfaction with each of the following items concerning your recycling service. [. Overall quality of the City's curbside recycling program],0.05439068701175518,Low,13
,please rate following items circling corresponding number 02 neighborhood place live,Please rate your satisfaction with each of the following items concerning your trash service. [. City efforts to keep you informed about trash removal issues],0.051227398750356125,Low,14
,please rate following items circling corresponding number 02 neighborhood place live,Please rate your satisfaction with each of the following items concerning city leadership. [. Overall quality of leadership provided by the City's elected officials],0.05086930475039502,Low,15
,please rate following items circling corresponding number 02 neighborhood place live,"For the items you selected, how would you rate the overall performance? [. Sewer services (e.g., sanitary sewer/wastewater)]",0.04214934568877807,Low,16
,please rate following items circling corresponding number 02 neighborhood place live,Which THREE of the items listed in Question 1 do you think should receive the MOST EMPHASIS from City leaders over the next TWO years? [2nd:],0.039389678269931255,Low,17
,please rate following items circling corresponding number 02 neighborhood place live,Please CHECK ALL of the following items that would make you try DART or cause you to ride more often. [More convenient routes],0.03781551614884292,Low,18
maintenance,please rate following items circling corresponding number 02 neighborhood place live,Maintenance. Please rate your satisfaction with the following services provided by the City of [city name]. [. Condition of major City streets],0.03685874911956135,Low,19
,please rate following items circling corresponding number 02 neighborhood place live,Please rate your level of agreement with each of the following statements. [. The City of [city name] is a safe community],0.0350469925545021,Low,20
parks recreation,please rate following items circling corresponding number 02 neighborhood place live,Parks and Recreation. Please rate the City's performance in the following areas. [. Appearance/maintenance of parks],0.03427808332544249,Low,21
,please rate following items circling corresponding number 02 neighborhood place live,Please rate your satisfaction with the following public safety services provided by the City of [city name]. [. The visibility of police in retail areas],0.03357412579374039,Low,22
,please rate following items circling corresponding number 02 neighborhood place live,Please rate each of the following characteristics as they relate to [city name] as a whole. [. Ease of air travel in [city name]],0.032542640040702966,Low,23
,please rate following items circling corresponding number 02 neighborhood place live,Please rate each of the following major categories of services provided by the City of [city name]. [. Overall quality of customer service you receive from City employees],0.03046012816126473,Low,24
,please rate following items circling corresponding number 02 neighborhood place live,Please rate the performance of the City employees who helped you the last time you contacted the City in the following areas. [. Courtesy],0.02887760930236717,Low,25
,please rate following items circling corresponding number 02 neighborhood place live,Please rate your satisfaction with each of the following water services. [. Clarity of your tap water],0.028786474836372106,Low,26
,please rate following items circling corresponding number 02 neighborhood place live,"Please rate your overall satisfaction with major categories of services provided by the City of [city name]. [. Overall quality of police, fire, and emergency medical services]",0.017000497103203536,Low,27
,please rate following items circling corresponding number 02 neighborhood place live,"Which of the following are your primary sources of information about City issues, services, and events?  [Other]",0.015977285343813114,Low,28
,please rate following items circling corresponding number 02 neighborhood place live,Which of the following best describes your race/ethnicity? [Other],0.015455895301665891,Low,29
,please rate following items circling corresponding number 02 neighborhood place live,Please CHECK ALL of the following types of retail and restaurant options you would like to see in [city name]. [Other],0.014683685757313575,Low,30
,please rate following items circling corresponding number 02 neighborhood place live,How many persons in your household are employed in each of the following areas? [Within the City limits of [city name]:],0.014219353299786753,Low,31
,please rate following items circling corresponding number 02 neighborhood place live,Please CHECK ALL of the following information sources you have used to get information about the City of [city name] during the past year. [Other],0.014060168510755564,Low,32
,please rate following items circling corresponding number 02 neighborhood place live,Please CHECK ALL of the following information sources you are currently using in daily life. [Other],0.013717100434545012,Low,33
,please rate following items circling corresponding number 02 neighborhood place live,Please CHECK ALL of the following that you have done in [city name] over the past year. [Visited City government offices],0.012974687464350591,Low,34
,please rate following items circling corresponding number 02 neighborhood place live,"Including yourself, how many persons in your household are in each of the following age groups? [65-74 years:]",0.011436488388996044,Low,35
,please rate following items circling corresponding number 02 neighborhood place live,"Thinking of your own life, please check if any of the following obstacles or barriers make it difficult for you to be involved with your community. [None]",0.01127671004085083,Low,36
,please rate following items circling corresponding number 02 neighborhood place live,"Which of the following best describes your race/ethnicity? [Hispanic, Spanish, or Latino/a/x]",0.01122826218242637,Low,37
,please rate following items circling corresponding number 02 neighborhood place live,Which of the following best describes your race/ethnicity? [American Indian or Alaska Native],0.01060781474496516,Low,38
,please rate following items circling corresponding number 02 neighborhood place live,Please indicate how the City of [city name] compares to other cities in Des Moines metro areas in the following areas. [. City facilities],0.01050747209173362,Low,39
economic development,please rate following items circling corresponding number 02 neighborhood place live,Economic Development. Which TWO of the following benefits of economic development are MOST IMPORTANT to you? [Other],0.010269004058202469,Low,40
major categories city services,please rate following items circling corresponding number 02 neighborhood place live,Major Categories of City Services. Please indicate whether you or any member of your household have used each of the following services in the past 12 months. [. Customer service provided by city employees],0.01026137571860444,Low,41
,please rate following items circling corresponding number 02 neighborhood place live,"If you had a budget of $100 for services provided by the City of Riveria Beach, how would you allocate the funds among these categories? [Please be sure your total adds up to $100.] [Parks, Golf, and Open Spaces (including park, outdoor athletic fields and courts, trails, golf, open space, and trails.)]",0.0,Low,42
,please rate following items circling corresponding number 02 neighborhood place live,Do you own or rent your current residence?,0.0,Low,43
,please rate following items circling corresponding number 02 neighborhood place live,What is your total annual household income?,0.0,Low,44
,please rate following items circling corresponding number 02 neighborhood place live,"Please define ""Other.""",0.0,Low,45
meet needs future generations city considering changes transportation infrastructure network better accommodate walking biking using public transit charging electric vehicles,please rate following items circling corresponding number 02 neighborhood place live,"To meet the needs of future generations, the City is considering changes to the transportation infrastructure and network to better accommodate walking, biking, using public transit and charging electric vehicles. Do you support the City's transportation network to better accommodate multimodal transportation by... [Providing safe walking options to and from home, work, school, parks, grocery stores, etc.]",0.0,Low,46
city aware shortage housing nationwide locally,please rate following items circling corresponding number 02 neighborhood place live,The City is aware of a shortage of housing nationwide and locally. Different housing types not already offered in [city name] will help meet the needs of future generations in our community. Do you support the City facilitating more housing in [city name] through... [Fourplexes],0.0,Low,47
,please rate following items circling corresponding number 02 neighborhood place live,What is your gender?,0.0,Low,48
,please rate following items circling corresponding number 02 neighborhood place live,"Counting yourself, how many people in your household are… [Ages 65-74:]",0.0,Low,49
,please rate following items circling corresponding number 02 neighborhood place live,How do you receive information about the city's budget and how money is spent? [Other],0.0,Low,50
,please rate following items circling corresponding number 02 neighborhood place live,What is your age?,0.0,Low,51
,please rate following items circling corresponding number 02 neighborhood place live,"Please CHECK ALL of the sources of information you use to get information about City services, news, and events? [. Other]",0.0,Low,52
,please rate following items circling corresponding number 02 neighborhood place live,Which THREE of the City services listed in Question 1 do you think are most important for the City to emphasize over the next TWO years? [1st:],0.0,Low,53
,please rate following items circling corresponding number 02 neighborhood place live,Which FOUR of the services listed above do you think should be the City's top priorities? [2nd:],0.0,Low,54
,please rate following items circling corresponding number 03 [city name] place raise children,Please indicate the extent to which you think each of the following are an issue in the City of [city name] by circling the corresponding number below. [. Other],0.38430138853083917,Low,1
,please rate following items circling corresponding number 03 [city name] place raise children,Please rate the City of [city name] with regard to the following. [. As a place to live],0.2546311418805542,Low,2
,please rate following items circling corresponding number 03 [city name] place raise children,Please rate your satisfaction with each of the following parks and recreation items. [. Number of city parks],0.20156211644050825,Low,3
,please rate following items circling corresponding number 03 [city name] place raise children,Please rate your satisfaction with each of the park services listed. [. The number of City parks],0.17048079102189626,Low,4
,please rate following items circling corresponding number 03 [city name] place raise children,Please rate your satisfaction with each of the park services listed. [. Number of walking and biking trails in the City],0.12057220262595505,Low,5
,please rate following items circling corresponding number 03 [city name] place raise children,Please rate your satisfaction with each of the following communication items. [. The quality of the City's website],0.10310318240432778,Low,6
perceptions community,please rate following items circling corresponding number 03 [city name] place raise children,Perceptions of the Community. Please rate your satisfaction with each of the following items that may influence your perception of the City of [city name]. [. Overall quality of life in the City],0.09807850059038623,Low,7
,please rate following items circling corresponding number 03 [city name] place raise children,Please rate your satisfaction with each of the following maintenance items. [. Maintenance of major City streets],0.09430610965046012,Low,8
,please rate following items circling corresponding number 03 [city name] place raise children,Please indicate how likely you would be to recommend your community. [. Recommend the community as a place to live],0.09360712941953482,Low,9
maintenance,please rate following items circling corresponding number 03 [city name] place raise children,Maintenance. Please rate your satisfaction with the following services provided by the City of [city name]. [. Condition of major City streets],0.0854898188481371,Low,10
,please rate following items circling corresponding number 03 [city name] place raise children,"When you think about the number and variety of places to live, work and play in [city name], would you like to see more, about the same, or fewer of the following types of places in [city name]? [. Retail and shopping plazas]",0.081797350346695,Low,11
,please rate following items circling corresponding number 03 [city name] place raise children,Please rate each of the following major categories of services provided by the City of [city name]. [. Overall quality of customer service you receive from City employees],0.07064892056294914,Low,12
,please rate following items circling corresponding number 03 [city name] place raise children,Please rate your satisfaction with each of the following items concerning city leadership. [. Overall quality of leadership provided by the City's elected officials],0.06809622748542044,Low,13
,please rate following items circling corresponding number 03 [city name] place raise children,Please rate your level of agreement with each of the following statements. [. The City of [city name] is a safe community],0.06448502076700108,Low,14
,please rate following items circling corresponding number 03 [city name] place raise children,Please rate your satisfaction with the following public safety services provided by the City of [city name]. [. The visibility of police in retail areas],0.06177500667643272,Low,15
,please rate following items circling corresponding number 03 [city name] place raise children,Please rate your satisfaction with each of the following items concerning your recycling service. [. Overall quality of the City's curbside recycling program],0.06036677262118442,Low,16
,please rate following items circling corresponding number 03 [city name] place raise children,Please rate each of the following characteristics as they relate to [city name] as a whole. [. Ease of air travel in [city name]],0.059877115435064576,Low,17
,please rate following items circling corresponding number 03 [city name] place raise children,Please rate your satisfaction with each of the following code enforcement items. [. Enforcing the maintenance of commercial property in your neighborhood],0.058260951396853985,Low,18
,please rate following items circling corresponding number 03 [city name] place raise children,Please rate your satisfaction with each of the following items concerning your trash service. [. City efforts to keep you informed about trash removal issues],0.056855923361827425,Low,19
,please rate following items circling corresponding number 03 [city name] place raise children,Please rate the performance of the City employees who helped you the last time you contacted the City in the following areas. [. Courtesy],0.05313361004281885,Low,20
,please rate following items circling corresponding number 03 [city name] place raise children,Which THREE of the items listed in Question 1 do you think should receive the MOST EMPHASIS from City leaders over the next TWO years? [2nd:],0.05194250996843033,Low,21
parks recreation,please rate following items circling corresponding number 03 [city name] place raise children,Parks and Recreation. Please rate the City's performance in the following areas. [. Appearance/maintenance of parks],0.0466362709183614,Low,22
,please rate following items circling corresponding number 03 [city name] place raise children,Please indicate how the City of [city name] compares to other cities in Des Moines metro areas in the following areas. [. City facilities],0.04643753104766296,Low,23
,please rate following items circling corresponding number 03 [city name] place raise children,How many persons in your household are employed in each of the following areas? [Within the City limits of [city name]:],0.04607094154120517,Low,24
,please rate following items circling corresponding number 03 [city name] place raise children,Please CHECK ALL of the following information sources you have used to get information about the City of [city name] during the past year. [Other],0.04555518017322404,Low,25
,please rate following items circling corresponding number 03 [city name] place raise children,"Please rate your overall satisfaction with major categories of services provided by the City of [city name]. [. Overall quality of police, fire, and emergency medical services]",0.042444436818043996,Low,26
,please rate following items circling corresponding number 03 [city name] place raise children,Please CHECK ALL of the following that you have done in [city name] over the past year. [Visited City government offices],0.042038203502157034,Low,27
,please rate following items circling corresponding number 03 [city name] place raise children,"For the items you selected, how would you rate the overall performance? [. Sewer services (e.g., sanitary sewer/wastewater)]",0.03713762017350606,Low,28
,please rate following items circling corresponding number 03 [city name] place raise children,Which THREE of the City services listed in Question 1 do you think are most important for the City to emphasize over the next TWO years? [1st:],0.033696125060503436,Low,29
,please rate following items circling corresponding number 03 [city name] place raise children,Please CHECK ALL of the following items that would make you try DART or cause you to ride more often. [More convenient routes],0.033319100271934174,Low,30
major categories city services,please rate following items circling corresponding number 03 [city name] place raise children,Major Categories of City Services. Please indicate whether you or any member of your household have used each of the following services in the past 12 months. [. Customer service provided by city employees],0.03324702825066293,Low,31
,please rate following items circling corresponding number 03 [city name] place raise children,"Which of the following are your primary sources of information about City issues, services, and events?  [Other]",0.03292209648031582,Low,32
,please rate following items circling corresponding number 03 [city name] place raise children,Please rate how safe you feel in the following situations. [. In your neighborhood during the day],0.03205617638832069,Low,33
,please rate following items circling corresponding number 03 [city name] place raise children,Please CHECK ALL of the following types of retail and restaurant options you would like to see in [city name]. [Other],0.030256561661528486,Low,34
city aware shortage housing nationwide locally,please rate following items circling corresponding number 03 [city name] place raise children,The City is aware of a shortage of housing nationwide and locally. Different housing types not already offered in [city name] will help meet the needs of future generations in our community. Do you support the City facilitating more housing in [city name] through... [Fourplexes],0.027223524316990915,Low,35
,please rate following items circling corresponding number 03 [city name] place raise children,Please rate your satisfaction with each of the following water services. [. Clarity of your tap water],0.025363648026735713,Low,36
,please rate following items circling corresponding number 03 [city name] place raise children,Which FOUR of the services listed above do you think should be the City's top priorities? [2nd:],0.023073312534262168,Low,37
,please rate following items circling corresponding number 03 [city name] place raise children,How do you receive information about the city's budget and how money is spent? [Other],0.017694552890629166,Low,38
,please rate following items circling corresponding number 03 [city name] place raise children,"Please CHECK ALL of the sources of information you use to get information about City services, news, and events? [. Other]",0.01592345841167703,Low,39
,please rate following items circling corresponding number 03 [city name] place raise children,Which of the following best describes your race/ethnicity? [Other],0.01361812763104331,Low,40
,please rate following items circling corresponding number 03 [city name] place raise children,Please CHECK ALL of the following information sources you are currently using in daily life. [Other],0.012086082417065772,Low,41
,please rate following items circling corresponding number 03 [city name] place raise children,"Including yourself, how many persons in your household are in each of the following age groups? [65-74 years:]",0.010076644250786715,Low,42
,please rate following items circling corresponding number 03 [city name] place raise children,"Thinking of your own life, please check if any of the following obstacles or barriers make it difficult for you to be involved with your community. [None]",0.009935864186270862,Low,43
,please rate following items circling corresponding number 03 [city name] place raise children,"Which of the following best describes your race/ethnicity? [Hispanic, Spanish, or Latino/a/x]",0.009893176971677483,Low,44
meet needs future generations city considering changes transportation infrastructure network better accommodate walking biking using public transit charging electric vehicles,please rate following items circling corresponding number 03 [city name] place raise children,"To meet the needs of future generations, the City is considering changes to the transportation infrastructure and network to better accommodate walking, biking, using public transit and charging electric vehicles. Do you support the City's transportation network to better accommodate multimodal transportation by... [Providing safe walking options to and from home, work, school, parks, grocery stores, etc.]",0.009701064936108216,Low,45
,please rate following items circling corresponding number 03 [city name] place raise children,Which of the following best describes your race/ethnicity? [American Indian or Alaska Native],0.009346503212132165,Low,46
economic development,please rate following items circling corresponding number 03 [city name] place raise children,Economic Development. Which TWO of the following benefits of economic development are MOST IMPORTANT to you? [Other],0.009047978468981345,Low,47
,please rate following items circling corresponding number 03 [city name] place raise children,"If you had a budget of $100 for services provided by the City of Riveria Beach, how would you allocate the funds among these categories? [Please be sure your total adds up to $100.] [Parks, Golf, and Open Spaces (including park, outdoor athletic fields and courts, trails, golf, open space, and trails.)]",0.005582314809146174,Low,48
,please rate following items circling corresponding number 03 [city name] place raise children,What is your total annual household income?,0.0,Low,49
,please rate following items circling corresponding number 03 [city name] place raise children,What is your age?,0.0,Low,50
,please rate following items circling corresponding number 03 [city name] place raise children,Do you own or rent your current residence?,0.0,Low,51
,please rate following items circling corresponding number 03 [city name] place raise children,"Counting yourself, how many people in your household are… [Ages 65-74:]",0.0,Low,52
,please rate following items circling corresponding number 03 [city name] place raise children,"Please define ""Other.""",0.0,Low,53
,please rate following items circling corresponding number 03 [city name] place raise children,What is your gender?,0.0,Low,54
,please rate following items circling corresponding number 04 [city name] place work,Please indicate the extent to which you think each of the following are an issue in the City of [city name] by circling the corresponding number below. [. Other],0.46303576521739004,Medium,1
,please rate following items circling corresponding number 04 [city name] place work,Please rate the City of [city name] with regard to the following. [. As a place to live],0.3067991143086354,Low,2
,please rate following items circling corresponding number 04 [city name] place work,Please rate your satisfaction with each of the following parks and recreation items. [. Number of city parks],0.24285748532333987,Low,3
,please rate following items circling corresponding number 04 [city name] place work,Please rate your satisfaction with each of the park services listed. [. The number of City parks],0.20540832243013102,Low,4
,please rate following items circling corresponding number 04 [city name] place work,"When you think about the number and variety of places to live, work and play in [city name], would you like to see more, about the same, or fewer of the following types of places in [city name]? [. Retail and shopping plazas]",0.19009740392779595,Low,5
,please rate following items circling corresponding number 04 [city name] place work,Please rate your satisfaction with each of the park services listed. [. Number of walking and biking trails in the City],0.1452746302070026,Low,6
,please rate following items circling corresponding number 04 [city name] place work,Please rate your satisfaction with each of the following communication items. [. The quality of the City's website],0.12422661584295838,Low,7
perceptions community,please rate following items circling corresponding number 04 [city name] place work,Perceptions of the Community. Please rate your satisfaction with each of the following items that may influence your perception of the City of [city name]. [. Overall quality of life in the City],0.11817249410900679,Low,8
,please rate following items circling corresponding number 04 [city name] place work,Please rate your satisfaction with each of the following maintenance items. [. Maintenance of major City streets],0.11362722839387221,Low,9
,please rate following items circling corresponding number 04 [city name] place work,Please indicate how likely you would be to recommend your community. [. Recommend the community as a place to live],0.1127850434427961,Low,10
maintenance,please rate following items circling corresponding number 04 [city name] place work,Maintenance. Please rate your satisfaction with the following services provided by the City of [city name]. [. Condition of major City streets],0.10300468556716294,Low,11
,please rate following items circling corresponding number 04 [city name] place work,Please rate each of the following major categories of services provided by the City of [city name]. [. Overall quality of customer service you receive from City employees],0.08512323392769272,Low,12
,please rate following items circling corresponding number 04 [city name] place work,Please rate your satisfaction with each of the following items concerning city leadership. [. Overall quality of leadership provided by the City's elected officials],0.0820475536730954,Low,13
,please rate following items circling corresponding number 04 [city name] place work,Please rate your level of agreement with each of the following statements. [. The City of [city name] is a safe community],0.07769649506096316,Low,14
,please rate following items circling corresponding number 04 [city name] place work,Please rate your satisfaction with the following public safety services provided by the City of [city name]. [. The visibility of police in retail areas],0.07443126239299551,Low,15
,please rate following items circling corresponding number 04 [city name] place work,Please rate your satisfaction with each of the following items concerning your recycling service. [. Overall quality of the City's curbside recycling program],0.07273451407816404,Low,16
,please rate following items circling corresponding number 04 [city name] place work,Please rate each of the following characteristics as they relate to [city name] as a whole. [. Ease of air travel in [city name]],0.07214453757369196,Low,17
