question_number,question_head_prompt,question_body_prompt,question_tail_prompt,option_1,option_2,option_3,option_4,option_5,option_6,option_7,option_8,option_9,option_10
Q5[05][F],none,please indicate extent think following issue city [city name] circling corresponding number,05 blighted buildings,Minor Problem,Moderate Problem,Don't Know,Not a Problem,Major Problem,,,,,
Q5[06][F],none,please indicate extent think following issue city [city name] circling corresponding number,06 homelessness,Major Problem,Moderate Problem,Minor Problem,Don't Know,Not a Problem,,,,,
Q5[07][F],none,please indicate extent think following issue city [city name] circling corresponding number,07 environmental hazards air quality toxic waste,Moderate Problem,Not a Problem,Don't Know,Minor Problem,Major Problem,,,,,
Q5[08][F],none,please indicate extent think following issue city [city name] circling corresponding number,08 loose dogs unrestrained pets,Minor Problem,Not a Problem,Moderate Problem,Major Problem,Don't Know,,,,,
Q5[09][F],none,please indicate extent think following issue city [city name] circling corresponding number,09 litter,Minor Problem,Moderate Problem,Major Problem,Not a Problem,Don't Know,,,,,
Q5[10][F],none,please indicate extent think following issue city [city name] circling corresponding number,10 infrastructurestreets,Moderate Problem,Major Problem,Minor Problem,Don't Know,Not a Problem,,,,,
Q5[11][F],none,please indicate extent think following issue city [city name] circling corresponding number,11 aggressive solicitationpanhandling,Moderate Problem,Not a Problem,Minor Problem,Major Problem,Don't Know,,,,,
Q5[12][F],none,please indicate extent think following issue city [city name] circling corresponding number,12 climate change extreme heat flooding tree canopy etc,Major Problem,Minor Problem,Not a Problem,Moderate Problem,Don't Know,,,,,
Q5[13][F],none,please indicate extent think following issue city [city name] circling corresponding number,13 racial ethnic inequities,Moderate Problem,Not a Problem,Minor Problem,Major Problem,Don't Know,,,,,
Q5[14][F],none,please indicate extent think following issue city [city name] circling corresponding number,14,Don't Know,Major Problem,Moderate Problem,Not a Problem,Minor Problem,,,,,
Q5x14[T],none,please define,none,Affordable housing,The houseless community does not have access to the resources they need. Instead their belongings are trashed and they are pushed somewhere else without any permanent and helpful solutions.,Total lack of adequate public transportation,"Minor crime , code violations ","Poor infrastructure. Incompetent, dishonest, inefficient city services. Terrible city management at the mid and upper levels. Terrible respect for all our residents by city staff. ","Abusive and inequitable property code enforcement. 

Examples:

* WOOD CHIPS AND MULCH ARE NOT LITTER 

* Using an old dining room set for outside furniture should not be a code violation. 

* And I’m sure there are many more. Update the code. 

* Even the use of the term code enforcement is a problem. This is not a proactive stance.  

* Effective communication should be required education for all code enforcement officers. Even referring to them as officers is problematic. They should actually know their jobs.  Return calls should be required. And finally when a code enforcement officer knows part of the code is ridiculous and doesn’t want to / and sometimes doesn’t give the warning… maybe that code should be reconsidered,  removed or changed to be more appropriate and fair. ",Other concerns ,Walkability.,"Elimate Section 8 housing, eliminate short term rentals in neighborhoods, eliminate uninsured / paper tag drivers","Lack of safety, Lack of streets getting fixed, not enough street lights, people Littering in our areas "
Q6[01][F],perceptions safety,please indicate safe feel following situations,01 neighborhood day,Safe,Very Safe,Unsafe,Very Unsafe,Neutral,Don't Know,,,,
Q6[02][F],perceptions safety,please indicate safe feel following situations,02 neighborhood dark,Unsafe,Very Safe,Safe,Very Unsafe,Neutral,Don't Know,,,,
Q6[03][F],perceptions safety,please indicate safe feel following situations,03 [city name] downtown area day,Safe,Neutral,Very Safe,Unsafe,Don't Know,Very Unsafe,,,,
Q6[04][F],perceptions safety,please indicate safe feel following situations,04 [city name] downtown area dark,Unsafe,Safe,Very Unsafe,Neutral,Don't Know,Very Safe,,,,
Q6[05][F],perceptions safety,please indicate safe feel following situations,05 [city name] restaurantretail areas day,Very Safe,Safe,Neutral,Unsafe,Don't Know,Very Unsafe,,,,
Q6[06][F],perceptions safety,please indicate safe feel following situations,06 [city name] restaurantretail areas dark,Safe,Very Safe,Unsafe,Neutral,Don't Know,Very Unsafe,,,,
Q6[07][F],perceptions safety,please indicate safe feel following situations,07 [city name] parks day,Safe,Very Safe,Neutral,Unsafe,Don't Know,Very Unsafe,,,,
Q6[08][F],perceptions safety,please indicate safe feel following situations,08 [city name] parks dark,Very Unsafe,Unsafe,Don't Know,Safe,Neutral,Very Safe,,,,
Q6[09][F],perceptions safety,please indicate safe feel following situations,09 violent crime murder rape assault robbery,Very Safe,Safe,Unsafe,Neutral,Very Unsafe,Don't Know,,,,
Q6[10][F],perceptions safety,please indicate safe feel following situations,10 property crime burglary theft,Neutral,Unsafe,Very Unsafe,Safe,Don't Know,Very Safe,,,,
Q6[11][F],perceptions safety,please indicate safe feel following situations,11 fire,Very Safe,Safe,Neutral,Don't Know,Unsafe,Very Unsafe,,,,
Q7[01][M],major categories city services,please indicate whether member household used following services past 12 months,01 ambulanceemergency medical services,No,Yes,,,,,,,,
Q7[02][M],major categories city services,please indicate whether member household used following services past 12 months,02 art cultural programsfacilities,Yes,No,,,,,,,,
Q7[03][M],major categories city services,please indicate whether member household used following services past 12 months,03 neighborhood code enforcement eg high weeds litter blight,No,Yes,,,,,,,,
Q7[04][M],major categories city services,please indicate whether member household used following services past 12 months,04 customer service provided city employees,Yes,No,,,,,,,,
Q7[05][M],major categories city services,please indicate whether member household used following services past 12 months,05 drinking water,Yes,No,,,,,,,,
Q7[06][M],major categories city services,please indicate whether member household used following services past 12 months,06 fire services,No,Yes,,,,,,,,
Q7[07][M],major categories city services,please indicate whether member household used following services past 12 months,07 solid waste services eg garbage recycling collection,Yes,No,,,,,,,,
Q7[08][M],major categories city services,please indicate whether member household used following services past 12 months,08 land use planning zoning,No,Yes,,,,,,,,
Q7[09][M],major categories city services,please indicate whether member household used following services past 12 months,09 maintenance infrastructure eg city streets sidewalks,Yes,No,,,,,,,,
Q7[10][M],major categories city services,please indicate whether member household used following services past 12 months,10 park recreation system,Yes,No,,,,,,,,
Q7[11][M],major categories city services,please indicate whether member household used following services past 12 months,11 police services,No,Yes,,,,,,,,
Q7[12][M],major categories city services,please indicate whether member household used following services past 12 months,12 communication city,Yes,No,,,,,,,,
Q7[13][M],major categories city services,please indicate whether member household used following services past 12 months,13 public library services,Yes,No,,,,,,,,
Q7[14][M],major categories city services,please indicate whether member household used following services past 12 months,14 sewer services eg sanitary sewerwastewater,Yes,No,,,,,,,,
Q7[15][M],major categories city services,please indicate whether member household used following services past 12 months,15 storm drainage,No,Yes,,,,,,,,
Q7[16][M],major categories city services,please indicate whether member household used following services past 12 months,16 traffic management traffic signals traffic flow signs parking,No,Yes,,,,,,,,
Q7[17][M],major categories city services,please indicate whether member household used following services past 12 months,17 [city name] love field airport,Yes,No,,,,,,,,
Q7[18][M],major categories city services,please indicate whether member household used following services past 12 months,18 municipal court services eg traffic parking ticket processing misdemeanor court cases fine collection,No,Yes,,,,,,,,
Q7[19][M],major categories city services,please indicate whether member household used following services past 12 months,19 social services community centers child care programs homeless programs senior programs,No,Yes,,,,,,,,
Q7[20][M],major categories city services,please indicate whether member household used following services past 12 months,20 311service request process call report problem,No,Yes,,,,,,,,
Q7[21][M],major categories city services,please indicate whether member household used following services past 12 months,21 animal services eg shelter adoptions animal control,No,Yes,,,,,,,,
Q7a[01][F],none,items selected would rate overall performance,01 ambulanceemergency medical services,Excellent,Good,Fair,Don't Know,Poor,,,,,
Q7a[02][F],none,items selected would rate overall performance,02 art cultural programsfacilities,Excellent,Good,Fair,Poor,Don't Know,,,,,
Q7a[03][F],none,items selected would rate overall performance,03 neighborhood code enforcement eg high weeds litter blight,Poor,Excellent,Fair,Good,Don't Know,,,,,
Q7a[04][F],none,items selected would rate overall performance,04 customer service provided city employees,Fair,Good,Excellent,Poor,Don't Know,,,,,
Q7a[05][F],none,items selected would rate overall performance,05 drinking water,Excellent,Poor,Good,Fair,Don't Know,,,,,
Q7a[06][F],none,items selected would rate overall performance,06 fire services,Excellent,Good,Fair,Poor,Don't Know,,,,,
Q7a[07][F],none,items selected would rate overall performance,07 solid waste services eg garbage recycling collection,Excellent,Good,Fair,Poor,Don't Know,,,,,
Q7a[08][F],none,items selected would rate overall performance,08 land use planning zoning,Poor,Fair,Good,Excellent,Don't Know,,,,,
Q7a[09][F],none,items selected would rate overall performance,09 maintenance infrastructure eg city streets sidewalks,Good,Poor,Fair,Don't Know,Excellent,,,,,
Q7a[10][F],none,items selected would rate overall performance,10 park recreation system,Excellent,Good,Fair,Poor,Don't Know,,,,,
Q7a[11][F],none,items selected would rate overall performance,11 police services,Poor,Good,Fair,Excellent,Don't Know,,,,,
Q7a[12][F],none,items selected would rate overall performance,12 communication city,Good,Don't Know,Fair,Poor,Excellent,,,,,
Q7a[13][F],none,items selected would rate overall performance,13 public library services,Excellent,Good,Fair,Poor,Don't Know,,,,,
Q7a[14][F],none,items selected would rate overall performance,14 sewer services eg sanitary sewerwastewater,Don't Know,Fair,Good,Excellent,Poor,,,,,
Q7a[15][F],none,items selected would rate overall performance,15 storm drainage,Fair,Poor,Excellent,Good,Don't Know,,,,,
Q7a[16][F],none,items selected would rate overall performance,16 traffic management traffic signals traffic flow signs parking,Excellent,Poor,Good,Fair,Don't Know,,,,,
Q7a[17][F],none,items selected would rate overall performance,17 [city name] love field airport,Excellent,Good,Fair,Poor,Don't Know,,,,,
Q7a[18][F],none,items selected would rate overall performance,18 municipal court services eg traffic parking ticket processing misdemeanor court cases fine collection,Fair,Good,Poor,Excellent,Don't Know,,,,,
Q7a[19][F],none,items selected would rate overall performance,19 social services community centers child care programs homeless programs senior programs,Poor,Excellent,Don't Know,Good,Fair,,,,,
Q7a[20][F],none,items selected would rate overall performance,20 311service request process call report problem,Poor,Excellent,Good,Fair,Don't Know,,,,,
Q7a[21][F],none,items selected would rate overall performance,21 animal services eg shelter adoptions animal control,Good,Poor,Fair,Excellent,Don't Know,,,,,
Q8[01][F],none,four services listed think citys top priorities,1st,"08. Land use, planning, and zoning","09. Maintenance of infrastructure (e.g., city streets and sidewalks)","03. Neighborhood code enforcement (e.g., high weeds, litter, blight)","16. Traffic management (traffic signals, traffic flow, signs, parking)","19. Social services (community centers, child care programs, homeless programs, senior programs)",05. Drinking water,11. Police services,"14. Sewer services (e.g., sanitary sewer/wastewater)",10. Park and recreation system,20. 311/Service request process (call to report problem)
Q8[02][F],none,four services listed think citys top priorities,2nd,"09. Maintenance of infrastructure (e.g., city streets and sidewalks)",20. 311/Service request process (call to report problem),11. Police services,"03. Neighborhood code enforcement (e.g., high weeds, litter, blight)",01. Ambulance/emergency medical services,"19. Social services (community centers, child care programs, homeless programs, senior programs)",06. Fire services,17. Dallas Love Field Airport,"07. Solid waste services (e.g., garbage and recycling collection)",10. Park and recreation system
Q8[03][F],none,four services listed think citys top priorities,3rd,"19. Social services (community centers, child care programs, homeless programs, senior programs)","03. Neighborhood code enforcement (e.g., high weeds, litter, blight)",10. Park and recreation system,12. Communication by the City,05. Drinking water,13. Public library services,"16. Traffic management (traffic signals, traffic flow, signs, parking)",17. Dallas Love Field Airport,02. Art and cultural programs/facilities,"09. Maintenance of infrastructure (e.g., city streets and sidewalks)"
Q8[04][F],none,four services listed think citys top priorities,4th,10. Park and recreation system,"16. Traffic management (traffic signals, traffic flow, signs, parking)",02. Art and cultural programs/facilities,"21. Animal services (e.g., shelter, adoptions, animal control)",20. 311/Service request process (call to report problem),"09. Maintenance of infrastructure (e.g., city streets and sidewalks)",15. Storm drainage,04. Customer service provided by city employees,11. Police services,"03. Neighborhood code enforcement (e.g., high weeds, litter, blight)"
Q9[01][F],public safety services,please rate citys performance following areas,01 visibility police commercial retail areas,Poor,Good,Fair,Don't Know,Excellent,,,,,
Q9[02][F],public safety services,please rate citys performance following areas,02 traffic enforcement,Fair,Good,Poor,Excellent,Don't Know,,,,,
Q9[03][F],public safety services,please rate citys performance following areas,03 visibility police neighborhoods,Good,Poor,Fair,Don't Know,Excellent,,,,,
Q9[04][F],public safety services,please rate citys performance following areas,04 efforts police effectively deal problems neighborhood,Fair,Good,Excellent,Poor,Don't Know,,,,,
Q9[05][F],public safety services,please rate citys performance following areas,05 response time police emergency calls,Don't Know,Good,Excellent,Poor,Fair,,,,,
Q9[06][F],public safety services,please rate citys performance following areas,06 response time fire structure fires,Don't Know,Excellent,Good,Fair,Poor,,,,,
Q9[07][F],public safety services,please rate citys performance following areas,07 response time fire medical emergencies,Don't Know,Excellent,Good,Fair,Poor,,,,,
Q9[08][F],public safety services,please rate citys performance following areas,08 fire prevention education,Don't Know,Poor,Good,Fair,Excellent,,,,,
Q9[09][F],public safety services,please rate citys performance following areas,09 prevention programs youth pals afterschool programming etc,Don't Know,Fair,Good,Excellent,Poor,,,,,
Q9[10][F],public safety services,please rate citys performance following areas,10 mental health programs,Don't Know,Poor,Fair,Excellent,Good,,,,,
Q9[11][F],public safety services,please rate citys performance following areas,11 quality volunteer disaster response programs community emergency response team,Don't Know,Poor,Fair,Excellent,Good,,,,,
Q10[01][F],none,two public safety services listed think citys top priorities,1st,04. Efforts by police to effectively deal with problems in your neighborhood,03. Visibility of police in neighborhoods,05. Response time of police to emergency calls,10. Mental health programs,07. Response time of fire to medical emergencies,01. Visibility of police in commercial and retail areas,"09. Prevention programs for youth (PALS, after-school programming, etc.)",02. Traffic enforcement,06. Response time of fire to structure fires,11. Quality of volunteer disaster response programs (Community Emergency Response Team)
Q10[02][F],none,two public safety services listed think citys top priorities,2nd,10. Mental health programs,01. Visibility of police in commercial and retail areas,04. Efforts by police to effectively deal with problems in your neighborhood,08. Fire prevention and education,05. Response time of police to emergency calls,11. Quality of volunteer disaster response programs (Community Emergency Response Team),02. Traffic enforcement,"09. Prevention programs for youth (PALS, after-school programming, etc.)",03. Visibility of police in neighborhoods,06. Response time of fire to structure fires
Q11[01][F],parks recreation,please rate citys performance following areas,01 city parks appearance quality amenities,Excellent,Good,Fair,Poor,Don't Know,,,,,
Q11[02][F],parks recreation,please rate citys performance following areas,02 recreation programs classes classes offered activities resources,Don't Know,Fair,Good,Poor,Excellent,,,,,
Q11[03][F],parks recreation,please rate citys performance following areas,03 rangevariety recreation programs classes,Don't Know,Fair,Good,Poor,Excellent,,,,,
Q11[04][F],parks recreation,please rate citys performance following areas,04 recreation centersfacilities appearance quality safety,Don't Know,Good,Fair,Poor,Excellent,,,,,
Q11[05][F],parks recreation,please rate citys performance following areas,05 accessibility parks ease access home,Excellent,Poor,Fair,Good,Don't Know,,,,,
Q11[06][F],parks recreation,please rate citys performance following areas,06 accessibility recreation centersfacilities,Don't Know,Excellent,Fair,Poor,Good,,,,,
Q11[07][F],parks recreation,please rate citys performance following areas,07 appearancemaintenance parks,Good,Fair,Excellent,Poor,Don't Know,,,,,
Q11[08][F],parks recreation,please rate citys performance following areas,08 appearancemaintenance recreation centersfacilities,Don't Know,Good,Fair,Excellent,Poor,,,,,
Q11[09][F],parks recreation,please rate citys performance following areas,09 outdoor athletic facilities soccerbaseball fields tennis courts,Good,Don't Know,Fair,Excellent,Poor,,,,,
Q11[10][F],parks recreation,please rate citys performance following areas,10 walking trails city access appearance quality,Excellent,Good,Fair,Poor,Don't Know,,,,,
Q11[11][F],parks recreation,please rate citys performance following areas,11 swimming facilities access appearance quality,Don't Know,Fair,Poor,Good,Excellent,,,,,
Q11[12][F],parks recreation,please rate citys performance following areas,12 ease registering city recreation programsevents,Don't Know,Good,Poor,Excellent,Fair,,,,,
Q11[13][F],parks recreation,please rate citys performance following areas,13 city golf courses,Good,Excellent,Don't Know,Fair,Poor,,,,,
Q12[01][F],none,three park recreation services listed think citys top priorities,1st,"01. City parks (appearance, quality, amenities)",13. City golf courses,07. Appearance/maintenance of parks,05. Accessibility of parks (ease of access from home),06. Accessibility of recreation centers/facilities,"04. Recreation centers/facilities (appearance, quality, safety)","11. Swimming facilities (access, appearance, quality)","02. Recreation programs or classes (classes offered, activities, resources)","10. Walking trails in the city (access, appearance, quality)","09. Outdoor athletic facilities (soccer/baseball fields, tennis courts)"
Q12[02][F],none,three park recreation services listed think citys top priorities,2nd,"09. Outdoor athletic facilities (soccer/baseball fields, tennis courts)","10. Walking trails in the city (access, appearance, quality)","04. Recreation centers/facilities (appearance, quality, safety)","01. City parks (appearance, quality, amenities)","11. Swimming facilities (access, appearance, quality)",13. City golf courses,08. Appearance/maintenance of recreation centers/facilities,03. Range/variety of recreation programs and classes,07. Appearance/maintenance of parks,06. Accessibility of recreation centers/facilities
Q12[03][F],none,three park recreation services listed think citys top priorities,3rd,"10. Walking trails in the city (access, appearance, quality)","01. City parks (appearance, quality, amenities)",07. Appearance/maintenance of parks,05. Accessibility of parks (ease of access from home),12. Ease of registering for city recreation programs/events,"11. Swimming facilities (access, appearance, quality)","04. Recreation centers/facilities (appearance, quality, safety)",03. Range/variety of recreation programs and classes,"09. Outdoor athletic facilities (soccer/baseball fields, tennis courts)",06. Accessibility of recreation centers/facilities
Q13[01][F],code enforcement services,please rate citys performance following areas,01 enforcement multifamily building conditions,Don't Know,Fair,Poor,Excellent,Good,,,,,
Q13[02][F],code enforcement services,please rate citys performance following areas,02 enforcement mowing weeds high grass private property,Good,Poor,Don't Know,Fair,Excellent,,,,,
Q13[03][F],code enforcement services,please rate citys performance following areas,03 enforcement blighted residential properties,Good,Poor,Don't Know,Fair,Excellent,,,,,
Q13[04][F],code enforcement services,please rate citys performance following areas,04 enforcement sign regulations,Excellent,Don't Know,Good,Poor,Fair,,,,,
Q13[05][F],code enforcement services,please rate citys performance following areas,05 city efforts remove junk motor vehicles inoperative private property,Don't Know,Poor,Fair,Good,Excellent,,,,,
Q13[06][F],code enforcement services,please rate citys performance following areas,06 enforcement bulkbrush trash violations,Good,Don't Know,Poor,Excellent,Fair,,,,,
Q13[07][F],code enforcement services,please rate citys performance following areas,07 enforcement litter private property,Excellent,Poor,Don't Know,Fair,Good,,,,,
Q13[08][F],code enforcement services,please rate citys performance following areas,08 city efforts survey abate mosquitos carrying viruses,Don't Know,Poor,Good,Fair,Excellent,,,,,
Q13[09][F],code enforcement services,please rate citys performance following areas,09 enforcement food safety restaurants,Don't Know,Good,Fair,Poor,Excellent,,,,,
Q13[10][F],code enforcement services,please rate citys performance following areas,10 enforcement yard parking regulations neighborhood,Excellent,Don't Know,Poor,Good,Fair,,,,,
Q14[01][F],none,two code enforcement services listed think citys top priorities,1st,09. Enforcement of food safety in restaurants,02. Enforcement of the mowing of weeds and high grass on private property,10. Enforcement of yard parking regulations in your neighborhood,05. City efforts to remove junk motor vehicles (inoperative) on private property,08. City efforts to survey and abate mosquitos carrying viruses,03. Enforcement of blighted residential properties,06. Enforcement of bulk/brush trash violations,07. Enforcement of litter on private property,01. Enforcement of multi-family building conditions,04. Enforcement of sign regulations
Q14[02][F],none,two code enforcement services listed think citys top priorities,2nd,04. Enforcement of sign regulations,05. City efforts to remove junk motor vehicles (inoperative) on private property,02. Enforcement of the mowing of weeds and high grass on private property,08. City efforts to survey and abate mosquitos carrying viruses,01. Enforcement of multi-family building conditions,09. Enforcement of food safety in restaurants,03. Enforcement of blighted residential properties,07. Enforcement of litter on private property,06. Enforcement of bulk/brush trash violations,10. Enforcement of yard parking regulations in your neighborhood
Q15[01][F],solid waste services,please rate citys performance following areas,1 garbage collections,Excellent,Don't Know,Good,Poor,Fair,,,,,
Q15[02][F],solid waste services,please rate citys performance following areas,2 recycling,Excellent,Good,Don't Know,Fair,Poor,,,,,
Q15[03][F],solid waste services,please rate citys performance following areas,3 yard waste pickup,Don't Know,Excellent,Good,Fair,Poor,,,,,
Q15[04][F],solid waste services,please rate citys performance following areas,4 bulk trash pickup,Excellent,Don't Know,Good,Fair,Poor,,,,,
Q15[05][F],solid waste services,please rate citys performance following areas,5 household hazardous waste disposal,Don't Know,Excellent,Poor,Good,Fair,,,,,
Q16[01][F],none,two solid waste services listed think citys top priorities,1st,1. Garbage collections,2. Recycling,4. Bulk trash pick-up,5. Household hazardous waste disposal,3. Yard waste pick-up,,,,,
Q16[02][F],none,two solid waste services listed think citys top priorities,2nd,4. Bulk trash pick-up,2. Recycling,1. Garbage collections,5. Household hazardous waste disposal,3. Yard waste pick-up,,,,,
Q17[01][F],streets infrastructuremobility,please rate citys performance following areas,01 maintenance repair thoroughfares major streets,Good,Poor,Fair,Excellent,Don't know,,,,,
Q17[02][F],streets infrastructuremobility,please rate citys performance following areas,02 maintenance repair streets neighborhood,Excellent,Poor,Fair,Good,Don't know,,,,,
Q17[03][F],streets infrastructuremobility,please rate citys performance following areas,03 street striping,Excellent,Poor,Good,Fair,Don't know,,,,,
Q17[04][F],streets infrastructuremobility,please rate citys performance following areas,04 street cleaning,Good,Poor,Fair,Excellent,Don't know,,,,,
Q17[05][F],streets infrastructuremobility,please rate citys performance following areas,05 street lighting,Good,Fair,Poor,Excellent,Don't know,,,,,
Q17[06][F],streets infrastructuremobility,please rate citys performance following areas,06 traffic signs signal operations,Good,Fair,Excellent,Poor,Don't know,,,,,
Q17[07][F],streets infrastructuremobility,please rate citys performance following areas,07 sidewalk maintenance,Good,Poor,Fair,Don't know,Excellent,,,,,
Q17[08][F],streets infrastructuremobility,please rate citys performance following areas,08 alley maintenance,Good,Poor,Don't know,Fair,Excellent,,,,,
Q17[09][F],streets infrastructuremobility,please rate citys performance following areas,09 curbs gutters,Excellent,Good,Poor,Fair,Don't know,,,,,
Q17[10][F],streets infrastructuremobility,please rate citys performance following areas,10 bike lanes city shared protected multiuse,Fair,Good,Poor,Excellent,Don't know,,,,,
Q18[01][F],none,two street infrastructure services listed think citys top priorities,1st,01. Maintenance and repair of thoroughfares and major streets,08. Alley maintenance,02. Maintenance and repair of streets in your neighborhood,05. Street lighting,"10. Bike lanes in the city (shared, protected and multi-use)",07. Sidewalk maintenance,09. Curbs and gutters,03. Street striping,04. Street cleaning,06. Traffic signs and signal operations
Q18[02][F],none,two street infrastructure services listed think citys top priorities,2nd,07. Sidewalk maintenance,01. Maintenance and repair of thoroughfares and major streets,02. Maintenance and repair of streets in your neighborhood,03. Street striping,"10. Bike lanes in the city (shared, protected and multi-use)",06. Traffic signs and signal operations,05. Street lighting,08. Alley maintenance,04. Street cleaning,09. Curbs and gutters
Q19[01][F],city servicesfacilities,please rate citys performance following areas,01 services seniors,Don't know,Good,Poor,Fair,Excellent,,,,,
