cluster,question_group,generic_question,original_question,option_1,option_2,option_3,option_4,option_5,option_6,option_7,option_8,option_9,option_10
36,,Please rate your satisfaction with each of the following maintenance items. [. Snow removal on major city streets],Q5[05][F].Please rate your satisfaction with each of the following maintenance items. [05. Snow removal on major city streets],Satisfied,Very Satisfied,Neutral,Dissatisfied,Very Dissatisfied,Don't Know,,,,
37,,Please indicate how the City of [city name] compares to other cities in Des Moines metro areas in the following areas. [. City facilities],Q22[01][F].Please indicate how the City of Johnston compares to other cities in Des Moines metro areas in the following areas. [1. City facilities],About the Same,Better,Worse,Much Worse,Don't Know,Much Better,,,,
38,,Please rate the performance of the City employees who helped you the last time you contacted the City in the following areas. [. Courtesy],Q20a[03][F].Please rate the performance of the City employees who helped you the last time you contacted the City in the following areas. [3. Courtesy],Excellent,Good,Fair,Poor,Don't know,,,,,
39,,Why were you dissatisfied?,Q7a[T].Why were you dissatisfied?,I believe the charge for water and storm sewer taxes are excessive. ,"People should not be charged such high prices for water, and this applies to JCW as well.  Shame on you. ","Water Pressure, I am sure this is a personal preference. But honestly feel the pressure should be around 55-60 psi.
I haven't checked mine in sometime but would guess on a good day it is only around 40-45 psi",Water is very expensive.  At least the city discontinued required back flow valve testing every year.,Does not taste okay unless I filter it,Too many taxes and fees added to basic water cost. ,Could always save money. ,"If there are in fact quality issues with the water, I’m not aware of them",it costs a fortune between water and sewer,Cost is too high
40,,"Which of the following best describes your race/ethnicity? [Hispanic, Spanish, or Latino/a/x]","Q26[06][M].Which of the following best describes your race/ethnicity? [Hispanic, Spanish, or Latino/a/x]",No,Yes,,,,,,,,
41,,Please CHECK ALL of the following information sources you are currently using in daily life. [Other],Q21[10][M].Please CHECK ALL of the following information sources you are currently using in daily life. [Other],No,Yes,,,,,,,,
42,,Please rate your level of agreement with each of the following statements. [. The City of [city name] is a safe community],Q14[01][F].Please rate your level of agreement with each of the following statements. [1. The City of Riviera Beach is a safe community],Disagree,Agree,Strongly Disagree,Strongly Agree,Don't Know,,,,,
43,,Please CHECK ALL of the following information sources you have used to get information about the City of [city name] during the past year. [Other],Q19[14][M].Please CHECK ALL of the following information sources you have used to get information about the City of Johnston during the past year. [Other],No,Yes,,,,,,,,
44,economic development,Economic Development. Which TWO of the following benefits of economic development are MOST IMPORTANT to you? [Other],Q23[10][M].Economic Development. Which TWO of the following benefits of economic development are MOST IMPORTANT to you? [Other],No,Yes,,,,,,,,
45,,Which THREE of the City services listed in Question 1 do you think are most important for the City to emphasize over the next TWO years? [1st:],Q2[01][F].Which THREE of the City services listed in Question 1 do you think are most important for the City to emphasize over the next TWO years? [1st:],01. Overall quality of police service,03. Overall efforts by the City to ensure the community is prepared for emergencies,02. Overall quality of fire services,06. Overall flow of traffic and congestion management on streets in the City,07. Overall quality of stormwater management in the City,"04. Overall maintenance of City streets, sidewalks, and infrastructure",12. Wastewater/sanitary sewer services,05. Overall effectiveness of communication by the City,08. Overall quality of parks and recreation programs and facilities,10. Overall enforcement of local codes and ordinances
46,,What is your total annual household income?,Q29[L].What is your total annual household income?,"$100,000 or more","$50,000 - $74,999","$25,000 - $49,999","$75,000 - $99,999","Less than $24,999",,,,,
47,,What is your gender?,Q24[L].What is your gender?,Male,Female,Self-identified,,,,,,,
48,,"Please answer either ""Yes"" or ""No"" to each of the following questions.  I have reasonable/friendly access to the following transportation opportunities:  [. Public Transportation]","Q12[04][F].Please answer either ""Yes"" or ""No"" to each of the following questions.  I have reasonable/friendly access to the following transportation opportunities:  [4. Public Transportation]",Yes,No,,,,,,,,
49,city maintenance,City Maintenance. Please rate your satisfaction with each of the following city maintenance items. [. Adequacy of City street lighting],Q15[04][F].City Maintenance. Please rate your satisfaction with each of the following city maintenance items. [04. Adequacy of City street lighting],Dissatisfied,Satisfied,Very Satisfied,Neutral,Very Dissatisfied,Don't Know,,,,
50,,"Please rate each of the following characteristics as they relate to [city name] as a whole. [. Access to affordable, quality housing]","Q2[05][F].Please rate each of the following characteristics as they relate to Dallas as a whole. [05. Access to affordable, quality housing]",Good,Poor,Fair,Don't Know,Excellent,,,,,
51,,Please describe your race/ethnicity.,Q26x99[S].Please describe your race/ethnicity.,Hispanic,Multi american,"German, Slovak, Rusyn, Irish",Na ,Hispanic ,Iranian American,Biracial,Mixed,NA ,Other 
52,,Please rate your satisfaction with each of the following maintenance items. [. Mowing and trimming along city streets and other public areas],Q5[07][F].Please rate your satisfaction with each of the following maintenance items. [07. Mowing and trimming along city streets and other public areas],Satisfied,Very Satisfied,Neutral,Dissatisfied,Very Dissatisfied,Don't Know,,,,
53,,Which THREE of the items listed in Question 1 do you think should receive the MOST EMPHASIS from City leaders over the next TWO years? [2nd:],Q2[02][F].Which THREE of the items listed in Question 1 do you think should receive the MOST EMPHASIS from City leaders over the next TWO years? [2nd:],04. Overall enforcement of City codes and ordinances,02. Overall quality of City parks and facilities,03. Overall maintenance of City streets,11. Overall quality of City's environmental sustainability programs,07. Overall traffic flow/congestion management on major streets in the City,08. Overall traffic flow/congestion management on neighborhood streets in the city,"01. Overall quality of police, fire, and emergency medical services",10. Overall quality of recreation programs,06. Overall effectiveness of City communication with the public,05. Overall quality of customer service you receive from City employees
