question_group,generic_question,option_1,option_2,option_3,option_4,option_5,option_6,option_7,option_8,option_9,option_10
,How do you receive information about the city's budget and how money is spent? [Other],No,Yes,,,,,,,,
major categories city services,Major Categories of City Services. Please indicate whether you or any member of your household have used each of the following services in the past 12 months. [. Customer service provided by city employees],Yes,No,,,,,,,,
,Please rate each of the following major categories of services provided by the City of [city name]. [. Overall quality of customer service you receive from City employees],Neutral,Very Satisfied,Satisfied,Don't Know,Dissatisfied,Very Dissatisfied,,,,
,"If you had a budget of $100 for services provided by the City of Riveria Beach, how would you allocate the funds among these categories? [Please be sure your total adds up to $100.] [Parks, Golf, and Open Spaces (including park, outdoor athletic fields and courts, trails, golf, open space, and trails.)]",30.0,50.0,75.0,20.0,25.0,45.0,10.0,100.0,35.0,0.0
,"Thinking of your own life, please check if any of the following obstacles or barriers make it difficult for you to be involved with your community. [None]",Yes,No,,,,,,,,
,"Counting yourself, how many people in your household are… [Ages 65-74:]",2.0,0.0,1.0,74.0,67.0,,,,,
,"Including yourself, how many persons in your household are in each of the following age groups? [65-74 years:]",1.0,2.0,0.0,26.0,,,,,,
,Please rate your satisfaction with the following public safety services provided by the City of [city name]. [. Overall quality of local police protection],Satisfied,Neutral,Very Satisfied,Don't Know,Dissatisfied,Very Dissatisfied,,,,
city aware shortage housing nationwide locally,The City is aware of a shortage of housing nationwide and locally. Different housing types not already offered in [city name] will help meet the needs of future generations in our community. Do you support the City facilitating more housing in [city name] through... [Fourplexes],Yes,No,,,,,,,,
,Please rate the City of [city name] with regard to the following. [. As a place to live],Good,Excellent,Neutral,Poor,Below Average,,,,,
,Please rate your satisfaction with each of the following code enforcement items. [. Enforcing the maintenance of commercial property in your neighborhood],Very Dissatisfied,Don't Know,Neutral,Satisfied,Very Satisfied,Dissatisfied,,,,
,Please rate your satisfaction with each of the following water services. [. Clarity of your tap water],Satisfied,Very Satisfied,Neutral,Dissatisfied,Don't Know,Very Dissatisfied,,,,
,Which of the following best describes your race/ethnicity? [American Indian or Alaska Native],No,Yes,,,,,,,,
perceptions community,Perceptions of the Community. Please rate your satisfaction with each of the following items that may influence your perception of the City of [city name]. [. Overall quality of life in the City],Dissatisfied,Very Satisfied,Neutral,Satisfied,Very Dissatisfied,Don't Know,,,,
city growth,City Growth. Please rate your satisfaction with each of the following items. [. Rate of growth in [city name]],Dissatisfied,Satisfied,Neutral,Very Satisfied,Very Dissatisfied,Don't Know,,,,
,"Please CHECK ALL of the sources of information you use to get information about City services, news, and events? [. Other]",Yes,No,,,,,,,,
,Please rate your satisfaction with each of the following maintenance items. [. Snow removal on major city streets],Satisfied,Very Satisfied,Neutral,Dissatisfied,Very Dissatisfied,Don't Know,,,,
,Please indicate how the City of [city name] compares to other cities in Des Moines metro areas in the following areas. [. City facilities],About the Same,Better,Worse,Much Worse,Don't Know,Much Better,,,,
,Please rate the performance of the City employees who helped you the last time you contacted the City in the following areas. [. Courtesy],Excellent,Good,Fair,Poor,Don't know,,,,,
,Why were you dissatisfied?,I believe the charge for water and storm sewer taxes are excessive. ,"People should not be charged such high prices for water, and this applies to JCW as well.  Shame on you. ","Water Pressure, I am sure this is a personal preference. But honestly feel the pressure should be around 55-60 psi.
I haven't checked mine in sometime but would guess on a good day it is only around 40-45 psi",Water is very expensive.  At least the city discontinued required back flow valve testing every year.,Does not taste okay unless I filter it,Too many taxes and fees added to basic water cost. ,Could always save money. ,"If there are in fact quality issues with the water, I’m not aware of them",it costs a fortune between water and sewer,Cost is too high
,"Which of the following best describes your race/ethnicity? [Hispanic, Spanish, or Latino/a/x]",No,Yes,,,,,,,,
,Please CHECK ALL of the following information sources you are currently using in daily life. [Other],No,Yes,,,,,,,,
,Please rate your level of agreement with each of the following statements. [. The City of [city name] is a safe community],Disagree,Agree,Strongly Disagree,Strongly Agree,Don't Know,,,,,
,Please CHECK ALL of the following information sources you have used to get information about the City of [city name] during the past year. [Other],No,Yes,,,,,,,,
economic development,Economic Development. Which TWO of the following benefits of economic development are MOST IMPORTANT to you? [Other],No,Yes,,,,,,,,
,Which THREE of the City services listed in Question 1 do you think are most important for the City to emphasize over the next TWO years? [1st:],01. Overall quality of police service,03. Overall efforts by the City to ensure the community is prepared for emergencies,02. Overall quality of fire services,06. Overall flow of traffic and congestion management on streets in the City,07. Overall quality of stormwater management in the City,"04. Overall maintenance of City streets, sidewalks, and infrastructure",12. Wastewater/sanitary sewer services,05. Overall effectiveness of communication by the City,08. Overall quality of parks and recreation programs and facilities,10. Overall enforcement of local codes and ordinances
,What is your total annual household income?,"$100,000 or more","$50,000 - $74,999","$25,000 - $49,999","$75,000 - $99,999","Less than $24,999",,,,,
,What is your gender?,Male,Female,Self-identified,,,,,,,
,"Please answer either ""Yes"" or ""No"" to each of the following questions.  I have reasonable/friendly access to the following transportation opportunities:  [. Public Transportation]",Yes,No,,,,,,,,
city maintenance,City Maintenance. Please rate your satisfaction with each of the following city maintenance items. [. Adequacy of City street lighting],Dissatisfied,Satisfied,Very Satisfied,Neutral,Very Dissatisfied,Don't Know,,,,
,"Please rate each of the following characteristics as they relate to [city name] as a whole. [. Access to affordable, quality housing]",Good,Poor,Fair,Don't Know,Excellent,,,,,
,Please describe your race/ethnicity.,Hispanic,Multi american,"German, Slovak, Rusyn, Irish",Na ,Hispanic ,Iranian American,Biracial,Mixed,NA ,Other 
,Please rate your satisfaction with each of the following maintenance items. [. Mowing and trimming along city streets and other public areas],Satisfied,Very Satisfied,Neutral,Dissatisfied,Very Dissatisfied,Don't Know,,,,
,Which THREE of the items listed in Question 1 do you think should receive the MOST EMPHASIS from City leaders over the next TWO years? [2nd:],04. Overall enforcement of City codes and ordinances,02. Overall quality of City parks and facilities,03. Overall maintenance of City streets,11. Overall quality of City's environmental sustainability programs,07. Overall traffic flow/congestion management on major streets in the City,08. Overall traffic flow/congestion management on neighborhood streets in the city,"01. Overall quality of police, fire, and emergency medical services",10. Overall quality of recreation programs,06. Overall effectiveness of City communication with the public,05. Overall quality of customer service you receive from City employees
