question_number,question_head_prompt,question_body_prompt,question_tail_prompt,option_1,option_2,option_3,option_4,option_5,option_6,option_7,option_8,option_9,option_10
Q5[11][F],,Please indicate the extent to which you think each of the following are an issue in the City of city_name by circling the corresponding number below,11. Aggressive solicitation/panhandling,nan:nan,2.0:Moderate Problem,4.0:Not a Problem,3.0:Minor Problem,1.0:Major Problem,9.0:Don't Know,,,,
Q5[12][F],,Please indicate the extent to which you think each of the following are an issue in the City of city_name by circling the corresponding number below,"12. Climate change (extreme heat, flooding, tree canopy, etc.)",nan:nan,1.0:Major Problem,3.0:Minor Problem,4.0:Not a Problem,2.0:Moderate Problem,9.0:Don't Know,,,,
Q5[13][F],,Please indicate the extent to which you think each of the following are an issue in the City of city_name by circling the corresponding number below,13. Racial and ethnic inequities,nan:nan,2.0:Moderate Problem,4.0:Not a Problem,3.0:Minor Problem,1.0:Major Problem,9.0:Don't Know,,,,
Q5[14][F],,Please indicate the extent to which you think each of the following are an issue in the City of city_name by circling the corresponding number below,14. Other,nan:nan,9.0:Don't Know,1.0:Major Problem,2.0:Moderate Problem,4.0:Not a Problem,3.0:Minor Problem,,,,
Q5x14[T],,"Please define ""Other",,Affordable housing,The houseless community does not have access to the resources they need. Instead their belongings are trashed and they are pushed somewhere else without any permanent and helpful solutions.,Total lack of adequate public transportation,"Minor crime , code violations ","Poor infrastructure. Incompetent, dishonest, inefficient city services. Terrible city management at the mid and upper levels. Terrible respect for all our residents by city staff. ","Abusive and inequitable property code enforcement. 

Examples:

* WOOD CHIPS AND MULCH ARE NOT LITTER 

* Using an old dining room set for outside furniture should not be a code violation. 

* And I’m sure there are many more. Update the code. 

* Even the use of the term code enforcement is a problem. This is not a proactive stance.  

* Effective communication should be required education for all code enforcement officers. Even referring to them as officers is problematic. They should actually know their jobs.  Return calls should be required. And finally when a code enforcement officer knows part of the code is ridiculous and doesn’t want to / and sometimes doesn’t give the warning… maybe that code should be reconsidered,  removed or changed to be more appropriate and fair. ",Other concerns ,Walkability.,"Elimate Section 8 housing, eliminate short term rentals in neighborhoods, eliminate uninsured / paper tag drivers","Lack of safety, Lack of streets getting fixed, not enough street lights, people Littering in our areas "
Q6[01][F],Perceptions of Safety,Please indicate how safe you feel in the following situations,01. In your neighborhood during the day,nan:nan,4.0:Safe,5.0:Very Safe,2.0:Unsafe,1.0:Very Unsafe,3.0:Neutral,9.0:Don't Know,,,
Q6[02][F],Perceptions of Safety,Please indicate how safe you feel in the following situations,02. In your neighborhood after dark,nan:nan,2.0:Unsafe,5.0:Very Safe,4.0:Safe,1.0:Very Unsafe,3.0:Neutral,9.0:Don't Know,,,
Q6[03][F],Perceptions of Safety,Please indicate how safe you feel in the following situations,03. In city_name' downtown area during the day,nan:nan,4.0:Safe,3.0:Neutral,5.0:Very Safe,2.0:Unsafe,9.0:Don't Know,1.0:Very Unsafe,,,
Q6[04][F],Perceptions of Safety,Please indicate how safe you feel in the following situations,04. In city_name' downtown area after dark,nan:nan,2.0:Unsafe,4.0:Safe,1.0:Very Unsafe,3.0:Neutral,9.0:Don't Know,5.0:Very Safe,,,
Q6[05][F],Perceptions of Safety,Please indicate how safe you feel in the following situations,05. In city_name' restaurant/retail areas during the day,nan:nan,5.0:Very Safe,4.0:Safe,3.0:Neutral,2.0:Unsafe,9.0:Don't Know,1.0:Very Unsafe,,,
Q6[06][F],Perceptions of Safety,Please indicate how safe you feel in the following situations,06. In city_name' restaurant/retail areas after dark,nan:nan,4.0:Safe,5.0:Very Safe,2.0:Unsafe,3.0:Neutral,9.0:Don't Know,1.0:Very Unsafe,,,
Q6[07][F],Perceptions of Safety,Please indicate how safe you feel in the following situations,07. In city_name' parks during the day,nan:nan,4.0:Safe,5.0:Very Safe,3.0:Neutral,2.0:Unsafe,9.0:Don't Know,1.0:Very Unsafe,,,
Q6[08][F],Perceptions of Safety,Please indicate how safe you feel in the following situations,08. In city_name' parks after dark,nan:nan,1.0:Very Unsafe,2.0:Unsafe,9.0:Don't Know,4.0:Safe,3.0:Neutral,5.0:Very Safe,,,
Q6[09][F],Perceptions of Safety,Please indicate how safe you feel in the following situations,"09. From violent crime (murder, rape, assault, robbery)",nan:nan,5.0:Very Safe,4.0:Safe,2.0:Unsafe,3.0:Neutral,1.0:Very Unsafe,9.0:Don't Know,,,
Q6[10][F],Perceptions of Safety,Please indicate how safe you feel in the following situations,"10. From property crime (burglary, theft)",nan:nan,3.0:Neutral,2.0:Unsafe,1.0:Very Unsafe,4.0:Safe,9.0:Don't Know,5.0:Very Safe,,,
Q6[11][F],Perceptions of Safety,Please indicate how safe you feel in the following situations,11. From fire,nan:nan,5.0:Very Safe,4.0:Safe,3.0:Neutral,9.0:Don't Know,2.0:Unsafe,1.0:Very Unsafe,,,
Q7[01][M],Major Categories of City Services,Please indicate whether you or any member of your household have used each of the following services in the past 12 months,01. Ambulance/emergency medical services,nan:nan,nan:No,Y:Yes,,,,,,,
Q7[02][M],Major Categories of City Services,Please indicate whether you or any member of your household have used each of the following services in the past 12 months,02. Art and cultural programs/facilities,nan:nan,Y:Yes,nan:No,,,,,,,
Q7[03][M],Major Categories of City Services,Please indicate whether you or any member of your household have used each of the following services in the past 12 months,"03. Neighborhood code enforcement (e.g., high weeds, litter, blight)",nan:nan,nan:No,Y:Yes,,,,,,,
Q7[04][M],Major Categories of City Services,Please indicate whether you or any member of your household have used each of the following services in the past 12 months,04. Customer service provided by city employees,nan:nan,Y:Yes,nan:No,,,,,,,
Q7[05][M],Major Categories of City Services,Please indicate whether you or any member of your household have used each of the following services in the past 12 months,05. Drinking water,nan:nan,Y:Yes,nan:No,,,,,,,
Q7[06][M],Major Categories of City Services,Please indicate whether you or any member of your household have used each of the following services in the past 12 months,06. Fire services,nan:nan,nan:No,Y:Yes,,,,,,,
Q7[07][M],Major Categories of City Services,Please indicate whether you or any member of your household have used each of the following services in the past 12 months,"07. Solid waste services (e.g., garbage and recycling collection)",nan:nan,Y:Yes,nan:No,,,,,,,
Q7[08][M],Major Categories of City Services,Please indicate whether you or any member of your household have used each of the following services in the past 12 months,"08. Land use, planning, and zoning",nan:nan,nan:No,Y:Yes,,,,,,,
Q7[09][M],Major Categories of City Services,Please indicate whether you or any member of your household have used each of the following services in the past 12 months,"09. Maintenance of infrastructure (e.g., city streets and sidewalks)",nan:nan,Y:Yes,nan:No,,,,,,,
Q7[10][M],Major Categories of City Services,Please indicate whether you or any member of your household have used each of the following services in the past 12 months,10. Park and recreation system,nan:nan,Y:Yes,nan:No,,,,,,,
Q7[11][M],Major Categories of City Services,Please indicate whether you or any member of your household have used each of the following services in the past 12 months,11. Police services,nan:nan,nan:No,Y:Yes,,,,,,,
Q7[12][M],Major Categories of City Services,Please indicate whether you or any member of your household have used each of the following services in the past 12 months,12. Communication by the City,nan:nan,Y:Yes,nan:No,,,,,,,
Q7[13][M],Major Categories of City Services,Please indicate whether you or any member of your household have used each of the following services in the past 12 months,13. Public library services,nan:nan,Y:Yes,nan:No,,,,,,,
Q7[14][M],Major Categories of City Services,Please indicate whether you or any member of your household have used each of the following services in the past 12 months,"14. Sewer services (e.g., sanitary sewer/wastewater)",nan:nan,Y:Yes,nan:No,,,,,,,
Q7[15][M],Major Categories of City Services,Please indicate whether you or any member of your household have used each of the following services in the past 12 months,15. Storm drainage,nan:nan,nan:No,Y:Yes,,,,,,,
Q7[16][M],Major Categories of City Services,Please indicate whether you or any member of your household have used each of the following services in the past 12 months,"16. Traffic management (traffic signals, traffic flow, signs, parking)",nan:nan,nan:No,Y:Yes,,,,,,,
Q7[17][M],Major Categories of City Services,Please indicate whether you or any member of your household have used each of the following services in the past 12 months,17. city_name Love Field Airport,nan:nan,Y:Yes,nan:No,,,,,,,
Q7[18][M],Major Categories of City Services,Please indicate whether you or any member of your household have used each of the following services in the past 12 months,"18. Municipal court services (e.g., traffic and parking ticket processing, misdemeanor court cases, fine collection)",nan:nan,nan:No,Y:Yes,,,,,,,
Q7[19][M],Major Categories of City Services,Please indicate whether you or any member of your household have used each of the following services in the past 12 months,"19. Social services (community centers, child care programs, homeless programs, senior programs)",nan:nan,nan:No,Y:Yes,,,,,,,
Q7[20][M],Major Categories of City Services,Please indicate whether you or any member of your household have used each of the following services in the past 12 months,20. 311/Service request process (call to report problem),nan:nan,nan:No,Y:Yes,,,,,,,
Q7[21][M],Major Categories of City Services,Please indicate whether you or any member of your household have used each of the following services in the past 12 months,"21. Animal services (e.g., shelter, adoptions, animal control)",nan:nan,nan:No,Y:Yes,,,,,,,
Q7a[01][F],,"For the items you selected, how would you rate the overall performance",01. Ambulance/emergency medical services,nan:nan,4.0:Excellent,3.0:Good,2.0:Fair,9.0:Don't Know,1.0:Poor,,,,
Q7a[02][F],,"For the items you selected, how would you rate the overall performance",02. Art and cultural programs/facilities,nan:nan,4.0:Excellent,3.0:Good,2.0:Fair,1.0:Poor,9.0:Don't Know,,,,
Q7a[03][F],,"For the items you selected, how would you rate the overall performance","03. Neighborhood code enforcement (e.g., high weeds, litter, blight)",nan:nan,1.0:Poor,4.0:Excellent,2.0:Fair,3.0:Good,9.0:Don't Know,,,,
Q7a[04][F],,"For the items you selected, how would you rate the overall performance",04. Customer service provided by city employees,nan:nan,2.0:Fair,3.0:Good,4.0:Excellent,1.0:Poor,9.0:Don't Know,,,,
Q7a[05][F],,"For the items you selected, how would you rate the overall performance",05. Drinking water,nan:nan,4.0:Excellent,1.0:Poor,3.0:Good,2.0:Fair,9.0:Don't Know,,,,
Q7a[06][F],,"For the items you selected, how would you rate the overall performance",06. Fire services,nan:nan,4.0:Excellent,3.0:Good,2.0:Fair,1.0:Poor,9.0:Don't Know,,,,
Q7a[07][F],,"For the items you selected, how would you rate the overall performance","07. Solid waste services (e.g., garbage and recycling collection)",nan:nan,4.0:Excellent,3.0:Good,2.0:Fair,1.0:Poor,9.0:Don't Know,,,,
Q7a[08][F],,"For the items you selected, how would you rate the overall performance","08. Land use, planning, and zoning",nan:nan,1.0:Poor,2.0:Fair,3.0:Good,4.0:Excellent,9.0:Don't Know,,,,
Q7a[09][F],,"For the items you selected, how would you rate the overall performance","09. Maintenance of infrastructure (e.g., city streets and sidewalks)",nan:nan,3.0:Good,1.0:Poor,2.0:Fair,9.0:Don't Know,4.0:Excellent,,,,
Q7a[10][F],,"For the items you selected, how would you rate the overall performance",10. Park and recreation system,nan:nan,4.0:Excellent,3.0:Good,2.0:Fair,1.0:Poor,9.0:Don't Know,,,,
Q7a[11][F],,"For the items you selected, how would you rate the overall performance",11. Police services,nan:nan,1.0:Poor,3.0:Good,2.0:Fair,4.0:Excellent,9.0:Don't Know,,,,
Q7a[12][F],,"For the items you selected, how would you rate the overall performance",12. Communication by the City,nan:nan,3.0:Good,9.0:Don't Know,2.0:Fair,1.0:Poor,4.0:Excellent,,,,
Q7a[13][F],,"For the items you selected, how would you rate the overall performance",13. Public library services,nan:nan,4.0:Excellent,3.0:Good,2.0:Fair,1.0:Poor,9.0:Don't Know,,,,
Q7a[14][F],,"For the items you selected, how would you rate the overall performance","14. Sewer services (e.g., sanitary sewer/wastewater)",nan:nan,9.0:Don't Know,2.0:Fair,3.0:Good,4.0:Excellent,1.0:Poor,,,,
Q7a[15][F],,"For the items you selected, how would you rate the overall performance",15. Storm drainage,nan:nan,2.0:Fair,1.0:Poor,4.0:Excellent,3.0:Good,9.0:Don't Know,,,,
Q7a[16][F],,"For the items you selected, how would you rate the overall performance","16. Traffic management (traffic signals, traffic flow, signs, parking)",nan:nan,4.0:Excellent,1.0:Poor,3.0:Good,2.0:Fair,9.0:Don't Know,,,,
Q7a[17][F],,"For the items you selected, how would you rate the overall performance",17. city_name Love Field Airport,nan:nan,4.0:Excellent,3.0:Good,2.0:Fair,1.0:Poor,9.0:Don't Know,,,,
Q7a[18][F],,"For the items you selected, how would you rate the overall performance","18. Municipal court services (e.g., traffic and parking ticket processing, misdemeanor court cases, fine collection)",nan:nan,2.0:Fair,3.0:Good,1.0:Poor,4.0:Excellent,9.0:Don't Know,,,,
Q7a[19][F],,"For the items you selected, how would you rate the overall performance","19. Social services (community centers, child care programs, homeless programs, senior programs)",nan:nan,1.0:Poor,4.0:Excellent,9.0:Don't Know,3.0:Good,2.0:Fair,,,,
Q7a[20][F],,"For the items you selected, how would you rate the overall performance",20. 311/Service request process (call to report problem),nan:nan,1.0:Poor,4.0:Excellent,3.0:Good,2.0:Fair,9.0:Don't Know,,,,
Q7a[21][F],,"For the items you selected, how would you rate the overall performance","21. Animal services (e.g., shelter, adoptions, animal control)",nan:nan,3.0:Good,1.0:Poor,2.0:Fair,4.0:Excellent,9.0:Don't Know,,,,
Q8[01][F],,Which FOUR of the services listed above do you think should be the City's top priorities,1st:,nan:nan,"8.0:08. Land use, planning, and zoning","9.0:09. Maintenance of infrastructure (e.g., city streets and sidewalks)","3.0:03. Neighborhood code enforcement (e.g., high weeds, litter, blight)","16.0:16. Traffic management (traffic signals, traffic flow, signs, parking)","19.0:19. Social services (community centers, child care programs, homeless programs, senior programs)",5.0:05. Drinking water,11.0:11. Police services,"14.0:14. Sewer services (e.g., sanitary sewer/wastewater)",10.0:10. Park and recreation system
Q8[02][F],,Which FOUR of the services listed above do you think should be the City's top priorities,2nd:,nan:nan,"9.0:09. Maintenance of infrastructure (e.g., city streets and sidewalks)",20.0:20. 311/Service request process (call to report problem),11.0:11. Police services,"3.0:03. Neighborhood code enforcement (e.g., high weeds, litter, blight)",1.0:01. Ambulance/emergency medical services,"19.0:19. Social services (community centers, child care programs, homeless programs, senior programs)",6.0:06. Fire services,17.0:17. Dallas Love Field Airport,"7.0:07. Solid waste services (e.g., garbage and recycling collection)"
Q8[03][F],,Which FOUR of the services listed above do you think should be the City's top priorities,3rd:,nan:nan,"19.0:19. Social services (community centers, child care programs, homeless programs, senior programs)","3.0:03. Neighborhood code enforcement (e.g., high weeds, litter, blight)",10.0:10. Park and recreation system,12.0:12. Communication by the City,5.0:05. Drinking water,13.0:13. Public library services,"16.0:16. Traffic management (traffic signals, traffic flow, signs, parking)",17.0:17. Dallas Love Field Airport,2.0:02. Art and cultural programs/facilities
Q8[04][F],,Which FOUR of the services listed above do you think should be the City's top priorities,4th:,nan:nan,10.0:10. Park and recreation system,"16.0:16. Traffic management (traffic signals, traffic flow, signs, parking)",2.0:02. Art and cultural programs/facilities,"21.0:21. Animal services (e.g., shelter, adoptions, animal control)",20.0:20. 311/Service request process (call to report problem),"9.0:09. Maintenance of infrastructure (e.g., city streets and sidewalks)",15.0:15. Storm drainage,4.0:04. Customer service provided by city employees,11.0:11. Police services
Q9[01][F],Public Safety Services,Please rate the City's performance in the following areas,01. Visibility of police in commercial and retail areas,nan:nan,1.0:Poor,3.0:Good,2.0:Fair,9.0:Don't Know,4.0:Excellent,,,,
Q9[02][F],Public Safety Services,Please rate the City's performance in the following areas,02. Traffic enforcement,nan:nan,2.0:Fair,3.0:Good,1.0:Poor,4.0:Excellent,9.0:Don't Know,,,,
Q9[03][F],Public Safety Services,Please rate the City's performance in the following areas,03. Visibility of police in neighborhoods,nan:nan,3.0:Good,1.0:Poor,2.0:Fair,9.0:Don't Know,4.0:Excellent,,,,
Q9[04][F],Public Safety Services,Please rate the City's performance in the following areas,04. Efforts by police to effectively deal with problems in your neighborhood,nan:nan,2.0:Fair,3.0:Good,4.0:Excellent,1.0:Poor,9.0:Don't Know,,,,
Q9[05][F],Public Safety Services,Please rate the City's performance in the following areas,05. Response time of police to emergency calls,nan:nan,9.0:Don't Know,3.0:Good,4.0:Excellent,1.0:Poor,2.0:Fair,,,,
Q9[06][F],Public Safety Services,Please rate the City's performance in the following areas,06. Response time of fire to structure fires,nan:nan,9.0:Don't Know,4.0:Excellent,3.0:Good,2.0:Fair,1.0:Poor,,,,
Q9[07][F],Public Safety Services,Please rate the City's performance in the following areas,07. Response time of fire to medical emergencies,nan:nan,9.0:Don't Know,4.0:Excellent,3.0:Good,2.0:Fair,1.0:Poor,,,,
Q9[08][F],Public Safety Services,Please rate the City's performance in the following areas,08. Fire prevention and education,nan:nan,9.0:Don't Know,1.0:Poor,3.0:Good,2.0:Fair,4.0:Excellent,,,,
Q9[09][F],Public Safety Services,Please rate the City's performance in the following areas,"09. Prevention programs for youth (PALS, after-school programming, etc.)",nan:nan,9.0:Don't Know,2.0:Fair,3.0:Good,4.0:Excellent,1.0:Poor,,,,
Q9[10][F],Public Safety Services,Please rate the City's performance in the following areas,10. Mental health programs,nan:nan,9.0:Don't Know,1.0:Poor,2.0:Fair,4.0:Excellent,3.0:Good,,,,
Q9[11][F],Public Safety Services,Please rate the City's performance in the following areas,11. Quality of volunteer disaster response programs (Community Emergency Response Team),nan:nan,9.0:Don't Know,1.0:Poor,2.0:Fair,4.0:Excellent,3.0:Good,,,,
Q10[01][F],,Which TWO of the public safety services listed above do you think should be the City's top priorities,1st:,nan:nan,4.0:04. Efforts by police to effectively deal with problems in your neighborhood,3.0:03. Visibility of police in neighborhoods,5.0:05. Response time of police to emergency calls,10.0:10. Mental health programs,7.0:07. Response time of fire to medical emergencies,1.0:01. Visibility of police in commercial and retail areas,"9.0:09. Prevention programs for youth (PALS, after-school programming, etc.)",2.0:02. Traffic enforcement,6.0:06. Response time of fire to structure fires
Q10[02][F],,Which TWO of the public safety services listed above do you think should be the City's top priorities,2nd:,nan:nan,10.0:10. Mental health programs,1.0:01. Visibility of police in commercial and retail areas,4.0:04. Efforts by police to effectively deal with problems in your neighborhood,8.0:08. Fire prevention and education,5.0:05. Response time of police to emergency calls,11.0:11. Quality of volunteer disaster response programs (Community Emergency Response Team),2.0:02. Traffic enforcement,"9.0:09. Prevention programs for youth (PALS, after-school programming, etc.)",3.0:03. Visibility of police in neighborhoods
