Group,Group Notes,Question,Question Type,Question Notes,Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,X-axis Option 1,X-axis Option 2,X-axis Option 3,X-axis Option 4,X-axis Option 5,X-axis Option 6,Y-axis Option 1,Y-axis Option 2,Y-axis Option 3,Y-axis Option 4,Y-axis Option 5,Y-axis Option 6,Y-axis Option 7,Y-axis Option 8,Y-axis Option 9,Y-axis Option 10,Y-axis Option 11,Y-axis Option 12,Z-axis Option 1,Z-axis Option 2,Z-axis Option 3,Z-axis Option 4,Z-axis Option 5,Z-axis Option 6,Z-axis Option 7,Z-axis Option 8,Z-axis Option 9,Z-axis Option 10,Z-axis Option 11,Z-axis Option 12
Customer Satisfaction,,Please rate how important each of the following are to Gurnee,Array by column,,"Very Easy	","Easy	","Neutral	","Difficult	","Very Difficult	",Don't Know,"Very Easy	","Easy	","Neutral	","Difficult	","Very Difficult	",Don't Know,Resource conservation,Increasing recycling opportunities,Public awareness of sustainable practices,Composting,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Satisfaction,,Which THREE of the services listed in Question 9 do you think are MOST IMPORTANT for the Village to provide? [Write in your answers below using the numbers from the list in Question 9," or circle ""NONE.""]",Short free text,,1st:,2nd:,3rd:,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Satisfaction,,What do you like most about living in City Name?,Short free text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Satisfaction,,What do you like least about living City Name?,Short free text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Satisfaction,,What do you think will be the THREE MOST SIGNIFICANT issues facing City Name in the next five years?,Multiple short text,,1st:,2nd:,3rd:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Satisfaction,,If there is one thing that you could change about City Name, what would it be and why?,Short free text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demograpics,,Including yourself, how many people in your household are,List (Radio),,Under age 5,Ages 5-9,Ages 10-14,Ages 15-19,Ages 20-24:,Ages 25-34,Ages 35-44,Ages 45-54,Ages 55-64,Ages 65-74,Ages 75+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demograpics,,What is your age?,Short free text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demograpics,,Are you or any members of your family of Hispanic, Spanish, or Latino/a/x ancestry?,List with comment,,Yes:  ______ people,No:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demograpics,,Which of the following best describes your race/ethnicity? ,Multiple choice,CreatedBy: System Message: ETC Standard order,Asian or Asian Indian,Black or African American,American Indian or Alaska Native,White,Hispanic, Spanish, Latino/a/x,Native Hawaiian or other Pacific Islander,Other: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demograpics,,Approximately how many years have you lived in Gurnee?,Short free text,,Years:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demograpics,,Do you own or rent your current residence?,Multiple choice,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demograpics,,Would you say your total annual household income is?,List (Radio),,Under $30,000,$30 ,000 to $49,999,$50 ,000 to $69,999,$70 ,000 to $89,999,$90 ,000 to $119,999,$120 ,000 to $174,999,$175 ,000 or more,,,,,,,,,,,,,,,,,,,,,,
Demograpics,,Your gender,List (Radio),CreatedBy: System Message: Please describe other.,Male,Female,I prefer to self-identify,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demograpics,,If you have any other comments that you would like to make, please provide them here.,Short free text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demograpics,,Would you be willing to participate in future surveys sponsored by the Village of Gurnee?,List (Radio),,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demograpics,,Please provide your contact information.,Multiple short text,,Mobile Phone Number:,Email Address:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
